date;Cyberwar;universities;Gold Coast;Luis Buñuel;air travel;isPartial
2022-01-02;1;65;12;0;22;False
2022-01-09;0;78;9;0;24;False
2022-01-16;0;73;9;0;19;False
2022-01-23;0;78;11;0;21;False
2022-01-30;0;69;11;0;24;False
2022-02-06;0;65;10;0;24;False
2022-02-13;1;61;10;0;24;False
2022-02-20;0;64;12;0;24;False
2022-02-27;1;68;10;0;21;False
2022-03-06;0;61;12;0;22;False
2022-03-13;0;67;12;0;22;False
2022-03-20;1;63;13;0;22;False
2022-03-27;0;61;13;0;23;False
2022-04-03;0;55;14;0;21;False
2022-04-10;0;56;15;0;18;False
2022-04-17;0;57;13;0;20;False
2022-04-24;0;60;11;0;21;False
2022-05-01;0;66;13;0;22;False
2022-05-08;0;63;11;0;22;False
2022-05-15;0;67;12;0;23;False
2022-05-22;0;66;11;0;22;False
2022-05-29;1;65;12;0;22;False
2022-06-05;0;66;12;0;25;False
2022-06-12;0;67;10;0;22;False
2022-06-19;0;71;10;0;20;False
2022-06-26;0;65;13;0;22;False
2022-07-03;1;61;12;0;23;False
2022-07-10;0;58;13;0;24;False
2022-07-17;0;53;12;0;22;False
2022-07-24;0;55;16;0;22;False
2022-07-31;0;51;17;0;20;False
2022-08-07;0;60;16;0;19;False
2022-08-14;0;100;12;0;19;False
2022-08-21;0;85;13;0;17;False
2022-08-28;0;69;14;0;18;False
2022-09-04;0;82;12;0;20;False
2022-09-11;0;89;12;0;17;False
2022-09-18;0;91;11;0;16;False
2022-09-25;0;86;12;1;17;False
2022-10-02;0;81;11;0;16;False
2022-10-09;1;78;12;0;16;False
2022-10-16;0;79;11;0;14;False
2022-10-23;1;68;13;0;13;False
2022-10-30;1;67;12;0;13;False
2022-11-06;0;76;21;0;15;False
2022-11-13;0;70;11;0;12;False
2022-11-20;0;62;15;0;15;False
2022-11-27;0;65;15;0;15;False
2022-12-04;0;57;11;0;13;False
2022-12-11;0;57;10;0;13;False
2022-12-18;0;46;12;0;12;False
2022-12-25;0;44;15;0;16;False
2023-01-01;0;60;31;0;19;False
2023-01-08;0;74;16;0;18;False
2023-01-15;0;73;13;0;17;False
2023-01-22;1;78;13;0;16;False
2023-01-29;0;67;12;0;17;False
