date;Anglicanism;Xbox One;Clowns ;Chris Hipkins;air travel;isPartial
2022-01-02;0;86;2;0;8;False
2022-01-09;0;73;3;0;9;False
2022-01-16;0;53;3;0;7;False
2022-01-23;0;58;2;0;8;False
2022-01-30;0;55;3;0;9;False
2022-02-06;0;50;3;0;9;False
2022-02-13;0;61;3;0;9;False
2022-02-20;0;65;3;0;9;False
2022-02-27;0;53;3;0;8;False
2022-03-06;0;49;3;0;8;False
2022-03-13;0;55;3;0;8;False
2022-03-20;0;44;2;0;8;False
2022-03-27;0;55;3;0;8;False
2022-04-03;0;52;3;0;8;False
2022-04-10;0;48;3;0;7;False
2022-04-17;0;51;2;0;7;False
2022-04-24;0;38;3;0;8;False
2022-05-01;0;47;3;0;8;False
2022-05-08;0;38;3;0;8;False
2022-05-15;0;39;3;0;8;False
2022-05-22;0;39;3;0;8;False
2022-05-29;0;43;3;0;8;False
2022-06-05;0;42;3;0;9;False
2022-06-12;0;40;3;0;8;False
2022-06-19;0;38;3;0;7;False
2022-06-26;0;41;2;0;8;False
2022-07-03;0;38;3;0;8;False
2022-07-10;0;39;4;0;9;False
2022-07-17;0;42;2;0;8;False
2022-07-24;0;45;3;0;8;False
2022-07-31;0;44;3;0;7;False
2022-08-07;0;43;3;0;7;False
2022-08-14;0;40;3;0;7;False
2022-08-21;0;43;4;0;6;False
2022-08-28;0;47;4;0;7;False
2022-09-04;0;40;4;0;7;False
2022-09-11;0;43;3;0;6;False
2022-09-18;0;50;3;0;6;False
2022-09-25;0;57;3;0;6;False
2022-10-02;0;49;3;0;6;False
2022-10-09;0;43;4;0;6;False
2022-10-16;0;45;4;0;5;False
2022-10-23;0;57;5;0;5;False
2022-10-30;0;50;4;0;5;False
2022-11-06;0;53;3;0;5;False
2022-11-13;0;56;3;0;5;False
2022-11-20;0;63;2;0;6;False
2022-11-27;0;56;2;0;6;False
2022-12-04;0;48;3;0;5;False
2022-12-11;0;56;2;0;5;False
2022-12-18;0;66;2;0;5;False
2022-12-25;0;100;3;0;6;False
2023-01-01;0;55;2;0;7;False
2023-01-08;0;40;2;0;6;False
2023-01-15;0;40;2;3;6;False
2023-01-22;0;38;2;1;6;False
2023-01-29;0;41;3;0;6;False
