date;Numeracy;police;Hampstead theatre;24;air travel;isPartial
2022-01-02;1;91;0;63;2;False
2022-01-09;1;90;0;58;2;False
2022-01-16;1;88;0;49;2;False
2022-01-23;1;86;0;56;2;False
2022-01-30;1;95;0;56;2;False
2022-02-06;1;94;0;50;2;False
2022-02-13;1;85;1;52;2;False
2022-02-20;1;87;0;65;2;False
2022-02-27;1;77;0;59;2;False
2022-03-06;1;79;0;55;2;False
2022-03-13;1;84;0;58;2;False
2022-03-20;1;84;0;61;2;False
2022-03-27;1;75;0;51;2;False
2022-04-03;1;76;0;47;2;False
2022-04-10;0;78;0;53;2;False
2022-04-17;1;78;0;50;2;False
2022-04-24;1;76;0;51;2;False
2022-05-01;1;96;0;55;2;False
2022-05-08;1;81;0;55;2;False
2022-05-15;2;85;0;50;2;False
2022-05-22;1;79;0;58;2;False
2022-05-29;0;80;0;51;2;False
2022-06-05;1;85;0;57;3;False
2022-06-12;1;80;0;56;2;False
2022-06-19;1;86;0;59;2;False
2022-06-26;1;84;0;51;2;False
2022-07-03;1;86;0;54;2;False
2022-07-10;0;77;0;59;2;False
2022-07-17;0;83;0;59;2;False
2022-07-24;0;88;0;62;2;False
2022-07-31;0;83;0;55;2;False
2022-08-07;0;83;0;57;2;False
2022-08-14;0;83;0;49;2;False
2022-08-21;1;77;0;59;2;False
2022-08-28;1;86;0;53;2;False
2022-09-04;1;88;0;55;2;False
2022-09-11;1;95;0;59;2;False
2022-09-18;1;89;0;65;2;False
2022-09-25;1;88;0;56;2;False
2022-10-02;1;87;0;56;2;False
2022-10-09;1;83;0;53;2;False
2022-10-16;1;88;0;55;1;False
2022-10-23;1;85;0;55;1;False
2022-10-30;1;79;0;54;1;False
2022-11-06;1;81;0;56;1;False
2022-11-13;1;85;0;59;1;False
2022-11-20;1;73;0;61;2;False
2022-11-27;1;86;0;64;2;False
2022-12-04;1;80;0;55;1;False
2022-12-11;1;81;0;60;1;False
2022-12-18;0;76;0;63;1;False
2022-12-25;0;73;0;55;2;False
2023-01-01;0;77;0;59;2;False
2023-01-08;1;79;0;48;2;False
2023-01-15;1;98;0;55;2;False
2023-01-22;1;93;0;58;2;False
2023-01-29;1;100;0;56;2;False
