date;Solicitors;MI6;champions league;David Cameron;air travel;isPartial
2022-01-02;10;0;4;0;1;False
2022-01-09;11;0;4;0;1;False
2022-01-16;11;0;4;1;1;False
2022-01-23;12;0;4;1;1;False
2022-01-30;12;0;4;0;1;False
2022-02-06;12;0;5;0;1;False
2022-02-13;10;0;32;0;1;False
2022-02-20;11;1;30;0;1;False
2022-02-27;11;1;8;0;1;False
2022-03-06;11;0;36;0;1;False
2022-03-13;11;1;41;1;1;False
2022-03-20;12;0;8;0;1;False
2022-03-27;11;0;5;0;1;False
2022-04-03;10;0;32;0;1;False
2022-04-10;9;0;50;1;1;False
2022-04-17;9;0;13;0;1;False
2022-04-24;11;0;34;0;1;False
2022-05-01;10;0;65;0;1;False
2022-05-08;12;0;16;0;1;False
2022-05-15;11;0;20;0;1;False
2022-05-22;11;0;100;0;1;False
2022-05-29;8;0;19;0;1;False
2022-06-05;12;0;3;1;1;False
2022-06-12;11;0;3;0;1;False
2022-06-19;11;0;3;0;1;False
2022-06-26;11;0;3;0;1;False
2022-07-03;11;0;3;2;1;False
2022-07-10;11;0;3;1;1;False
2022-07-17;11;1;4;0;1;False
2022-07-24;11;0;4;0;1;False
2022-07-31;11;0;5;0;1;False
2022-08-07;11;0;6;0;1;False
2022-08-14;11;0;6;0;1;False
2022-08-21;11;0;42;0;1;False
2022-08-28;10;0;9;0;1;False
2022-09-04;9;0;52;2;1;False
2022-09-11;11;0;45;1;1;False
2022-09-18;10;0;5;1;1;False
2022-09-25;10;0;3;0;1;False
2022-10-02;11;1;38;0;1;False
2022-10-09;11;0;46;0;1;False
2022-10-16;11;0;8;1;1;False
2022-10-23;10;0;52;1;1;False
2022-10-30;10;0;48;0;1;False
2022-11-06;10;0;17;0;1;False
2022-11-13;10;0;3;0;0;False
2022-11-20;8;0;3;0;1;False
2022-11-27;9;0;3;0;1;False
2022-12-04;9;0;3;0;1;False
2022-12-11;9;0;3;0;1;False
2022-12-18;8;0;5;0;0;False
2022-12-25;4;1;4;0;1;False
2023-01-01;10;1;5;0;1;False
2023-01-08;10;1;5;0;1;False
2023-01-15;11;1;4;0;1;False
2023-01-22;11;1;4;0;1;False
2023-01-29;11;0;5;0;1;False
