date;Donna Tartt;Chefs;Helen Garner;maine;air travel;isPartial
2022-01-02;2;49;0;65;29;False
2022-01-09;1;48;0;76;33;False
2022-01-16;1;39;0;100;25;False
2022-01-23;2;46;0;83;27;False
2022-01-30;1;50;0;83;31;False
2022-02-06;2;42;0;70;31;False
2022-02-13;1;44;0;64;31;False
2022-02-20;1;50;0;67;31;False
2022-02-27;1;46;0;62;28;False
2022-03-06;1;43;0;63;29;False
2022-03-13;1;43;0;64;29;False
2022-03-20;1;44;0;63;28;False
2022-03-27;1;41;0;58;30;False
2022-04-03;1;42;0;64;28;False
2022-04-10;2;39;0;71;24;False
2022-04-17;1;36;0;62;26;False
2022-04-24;1;39;1;60;27;False
2022-05-01;1;44;0;63;28;False
2022-05-08;2;39;0;64;29;False
2022-05-15;1;38;1;60;30;False
2022-05-22;1;38;0;65;28;False
2022-05-29;1;35;0;65;29;False
2022-06-05;1;38;0;66;32;False
2022-06-12;1;41;0;65;29;False
2022-06-19;1;38;0;69;26;False
2022-06-26;2;40;0;67;28;False
2022-07-03;1;39;0;65;29;False
2022-07-10;1;42;0;67;31;False
2022-07-17;1;37;0;64;29;False
2022-07-24;1;41;0;74;29;False
2022-07-31;1;38;0;68;26;False
2022-08-07;1;39;0;80;25;False
2022-08-14;2;35;0;69;25;False
2022-08-21;1;39;0;68;22;False
2022-08-28;1;44;0;70;24;False
2022-09-04;1;42;0;64;26;False
2022-09-11;1;40;0;72;22;False
2022-09-18;2;42;0;74;22;False
2022-09-25;1;49;0;76;22;False
2022-10-02;2;51;1;78;21;False
2022-10-09;1;43;0;77;20;False
2022-10-16;2;41;0;74;18;False
2022-10-23;1;44;0;74;17;False
2022-10-30;2;42;0;68;17;False
2022-11-06;2;46;0;73;19;False
2022-11-13;2;45;0;71;16;False
2022-11-20;1;46;0;63;20;False
2022-11-27;2;45;0;64;19;False
2022-12-04;2;45;0;66;17;False
2022-12-11;2;48;0;66;17;False
2022-12-18;2;49;0;83;16;False
2022-12-25;3;43;0;86;21;False
2023-01-01;3;44;0;77;25;False
2023-01-08;2;40;0;65;23;False
2023-01-15;1;41;1;74;22;False
2023-01-22;3;45;0;80;20;False
2023-01-29;3;48;1;80;22;False
