date;Scottish National party (SNP);Fish;Barclays;UK charts;air travel;isPartial
2022-01-02;0;91;53;2;2;False
2022-01-09;0;91;53;1;2;False
2022-01-16;0;79;47;2;1;False
2022-01-23;0;82;50;2;1;False
2022-01-30;0;85;54;2;2;False
2022-02-06;0;80;47;1;2;False
2022-02-13;0;83;43;2;2;False
2022-02-20;0;84;48;1;2;False
2022-02-27;0;78;49;1;1;False
2022-03-06;0;79;48;1;2;False
2022-03-13;0;78;46;1;2;False
2022-03-20;0;86;47;1;1;False
2022-03-27;0;79;50;1;2;False
2022-04-03;0;84;49;1;1;False
2022-04-10;0;100;38;1;1;False
2022-04-17;0;86;44;1;1;False
2022-04-24;0;79;46;1;1;False
2022-05-01;0;86;49;1;1;False
2022-05-08;0;81;47;1;2;False
2022-05-15;0;82;47;2;2;False
2022-05-22;0;86;44;2;1;False
2022-05-29;0;95;45;3;2;False
2022-06-05;0;92;50;3;2;False
2022-06-12;0;84;45;2;1;False
2022-06-19;0;86;45;2;1;False
2022-06-26;0;80;47;1;1;False
2022-07-03;0;88;45;2;2;False
2022-07-10;0;92;48;2;2;False
2022-07-17;0;93;46;1;2;False
2022-07-24;0;91;53;1;2;False
2022-07-31;0;96;51;1;1;False
2022-08-07;0;97;51;2;1;False
2022-08-14;0;85;47;1;1;False
2022-08-21;0;87;48;2;1;False
2022-08-28;0;89;53;1;1;False
2022-09-04;0;79;49;1;1;False
2022-09-11;0;87;53;1;1;False
2022-09-18;0;83;51;1;1;False
2022-09-25;0;80;58;1;1;False
2022-10-02;0;83;54;1;1;False
2022-10-09;0;79;52;2;1;False
2022-10-16;0;72;49;2;1;False
2022-10-23;0;77;49;1;1;False
2022-10-30;0;72;51;1;1;False
2022-11-06;0;92;47;1;1;False
2022-11-13;0;72;44;1;1;False
2022-11-20;0;67;40;1;1;False
2022-11-27;0;76;46;1;1;False
2022-12-04;0;71;44;2;1;False
2022-12-11;0;73;42;2;1;False
2022-12-18;0;81;45;5;1;False
2022-12-25;0;84;36;2;1;False
2023-01-01;0;84;47;1;1;False
2023-01-08;0;79;45;2;1;False
2023-01-15;0;76;49;1;1;False
2023-01-22;0;84;51;2;1;False
2023-01-29;0;85;54;1;1;False
