date;saudi arabia;Rahul Gandhi;Housing;eBay;air travel;isPartial
2022-01-02;1;0;15;94;1;False
2022-01-09;2;0;18;98;1;False
2022-01-16;1;0;17;84;1;False
2022-01-23;2;0;17;92;1;False
2022-01-30;2;0;18;100;1;False
2022-02-06;2;0;16;91;1;False
2022-02-13;1;0;16;89;1;False
2022-02-20;2;0;17;88;1;False
2022-02-27;2;0;17;88;1;False
2022-03-06;2;0;18;86;1;False
2022-03-13;6;0;18;96;1;False
2022-03-20;7;0;17;0;1;False
2022-03-27;7;0;17;0;1;False
2022-04-03;2;0;16;0;1;False
2022-04-10;1;0;15;0;1;False
2022-04-17;2;0;14;0;1;False
2022-04-24;5;0;16;0;1;False
2022-05-01;2;0;17;0;1;False
2022-05-08;1;0;18;0;1;False
2022-05-15;1;0;17;0;1;False
2022-05-22;1;0;16;0;1;False
2022-05-29;1;0;14;0;1;False
2022-06-05;2;0;20;0;1;False
2022-06-12;2;0;17;0;1;False
2022-06-19;2;0;16;0;1;False
2022-06-26;2;0;17;0;1;False
2022-07-03;2;0;17;0;1;False
2022-07-10;2;0;16;0;1;False
2022-07-17;2;0;15;0;1;False
2022-07-24;3;0;17;0;1;False
2022-07-31;2;0;16;0;1;False
2022-08-07;2;0;16;0;1;False
2022-08-14;3;0;16;0;1;False
2022-08-21;2;0;17;0;1;False
2022-08-28;2;0;16;0;1;False
2022-09-04;2;0;16;0;1;False
2022-09-11;2;0;16;0;1;False
2022-09-18;2;0;15;0;1;False
2022-09-25;2;0;17;0;1;False
2022-10-02;2;0;16;0;0;False
2022-10-09;2;0;17;0;0;False
2022-10-16;2;0;16;0;0;False
2022-10-23;2;0;16;0;0;False
2022-10-30;2;0;16;0;0;False
2022-11-06;2;0;16;0;0;False
2022-11-13;3;0;17;0;0;False
2022-11-20;32;0;15;0;0;False
2022-11-27;9;0;15;0;0;False
2022-12-04;3;0;14;86;0;False
2022-12-11;2;0;15;0;0;False
2022-12-18;2;0;13;0;0;False
2022-12-25;3;0;10;0;1;False
2023-01-01;3;0;14;0;1;False
2023-01-08;3;0;17;0;1;False
2023-01-15;3;0;17;0;1;False
2023-01-22;2;0;18;0;0;False
2023-01-29;2;0;18;86;1;False
