date;King Charles III;European Tour;Paramount Pictures;County lines;air travel;isPartial
2022-01-02;0;2;0;2;7;False
2022-01-09;0;2;0;2;8;False
2022-01-16;0;10;0;2;6;False
2022-01-23;0;12;0;2;7;False
2022-01-30;0;13;0;2;8;False
2022-02-06;0;9;0;2;8;False
2022-02-13;0;5;0;1;8;False
2022-02-20;0;3;0;2;8;False
2022-02-27;0;6;0;2;7;False
2022-03-06;0;7;1;2;7;False
2022-03-13;0;7;0;2;7;False
2022-03-20;0;7;0;3;7;False
2022-03-27;0;4;0;3;7;False
2022-04-03;0;3;0;3;7;False
2022-04-10;0;3;0;3;6;False
2022-04-17;0;7;0;2;6;False
2022-04-24;0;8;0;2;7;False
2022-05-01;0;11;0;2;7;False
2022-05-08;0;9;0;2;7;False
2022-05-15;0;6;0;2;7;False
2022-05-22;0;7;0;2;7;False
2022-05-29;0;9;0;1;7;False
2022-06-05;0;8;0;1;8;False
2022-06-12;0;6;0;2;7;False
2022-06-19;0;9;1;2;6;False
2022-06-26;0;12;0;2;7;False
2022-07-03;0;13;0;1;7;False
2022-07-10;0;11;0;1;8;False
2022-07-17;0;11;0;1;7;False
2022-07-24;0;11;0;1;7;False
2022-07-31;0;10;0;1;6;False
2022-08-07;0;10;0;1;6;False
2022-08-14;0;7;0;2;6;False
2022-08-21;0;9;0;2;5;False
2022-08-28;0;10;0;2;6;False
2022-09-04;100;12;0;2;6;False
2022-09-11;63;14;0;2;5;False
2022-09-18;45;11;0;2;5;False
2022-09-25;16;11;0;2;5;False
2022-10-02;11;10;0;2;5;False
2022-10-09;8;10;0;2;5;False
2022-10-16;6;9;0;2;5;False
2022-10-23;7;10;0;2;4;False
2022-10-30;4;6;0;2;4;False
2022-11-06;7;8;0;2;5;False
2022-11-13;4;10;0;2;4;False
2022-11-20;3;7;0;2;5;False
2022-11-27;3;6;0;2;5;False
2022-12-04;3;5;0;2;4;False
2022-12-11;5;5;0;2;4;False
2022-12-18;4;2;0;1;4;False
2022-12-25;5;1;0;1;5;False
2023-01-01;5;2;0;2;6;False
2023-01-08;4;3;0;2;6;False
2023-01-15;4;6;0;3;5;False
2023-01-22;2;10;0;2;5;False
2023-01-29;3;11;0;3;5;False
