date;Valencia;PFAS;Foreign, Commonwealth and Development Office;Michael Parkinson;air travel;isPartial
2022-01-02;29;1;0;3;10;False
2022-01-09;31;0;0;1;12;False
2022-01-16;29;0;0;2;9;False
2022-01-23;27;1;0;2;10;False
2022-01-30;30;0;0;1;11;False
2022-02-06;31;1;0;1;11;False
2022-02-13;28;0;0;1;11;False
2022-02-20;37;0;0;1;11;False
2022-02-27;30;0;0;1;10;False
2022-03-06;29;1;0;1;10;False
2022-03-13;30;6;0;1;10;False
2022-03-20;31;2;0;1;10;False
2022-03-27;28;1;0;1;11;False
2022-04-03;33;1;0;2;10;False
2022-04-10;37;1;0;1;8;False
2022-04-17;36;0;0;1;9;False
2022-04-24;32;1;0;2;10;False
2022-05-01;34;1;0;1;10;False
2022-05-08;31;1;0;2;10;False
2022-05-15;33;1;0;1;11;False
2022-05-22;30;1;0;1;10;False
2022-05-29;31;0;0;2;10;False
2022-06-05;31;1;0;2;11;False
2022-06-12;30;1;0;2;10;False
2022-06-19;28;1;0;2;9;False
2022-06-26;28;0;0;3;10;False
2022-07-03;28;0;0;5;11;False
2022-07-10;34;1;0;2;11;False
2022-07-17;31;1;0;1;10;False
2022-07-24;37;1;0;2;10;False
2022-07-31;30;1;0;2;9;False
2022-08-07;31;1;0;1;9;False
2022-08-14;29;2;0;1;9;False
2022-08-21;32;1;0;1;8;False
2022-08-28;37;1;0;1;8;False
2022-09-04;34;1;0;1;9;False
2022-09-11;30;0;0;1;8;False
2022-09-18;27;1;0;1;8;False
2022-09-25;25;1;0;1;8;False
2022-10-02;30;1;0;2;7;False
2022-10-09;29;1;0;4;7;False
2022-10-16;31;1;0;2;7;False
2022-10-23;32;1;0;2;6;False
2022-10-30;26;1;0;34;6;False
2022-11-06;31;1;0;5;7;False
2022-11-13;22;0;0;2;6;False
2022-11-20;100;1;0;12;7;False
2022-11-27;27;1;0;3;7;False
2022-12-04;22;1;0;2;6;False
2022-12-11;22;0;0;2;6;False
2022-12-18;19;1;0;2;6;False
2022-12-25;24;1;0;3;8;False
2023-01-01;31;0;0;1;9;False
2023-01-08;37;3;0;1;8;False
2023-01-15;31;2;0;1;8;False
2023-01-22;36;2;0;1;7;False
2023-01-29;44;1;0;1;8;False
