date;Bangladesh;raf;George Eustice;Sydney festival;air travel;isPartial
2023-01-01;56;74;0;2;14;False
2023-01-02;67;72;0;0;17;False
2023-01-03;66;75;1;0;11;False
2023-01-04;71;86;0;1;16;False
2023-01-05;67;74;0;0;13;False
2023-01-06;69;68;0;4;14;False
2023-01-07;72;59;0;0;10;False
2023-01-08;72;77;0;1;16;False
2023-01-09;70;82;0;0;9;False
2023-01-10;67;91;0;2;15;False
2023-01-11;67;87;2;0;17;False
2023-01-12;62;80;1;0;14;False
2023-01-13;52;68;0;0;11;False
2023-01-14;66;71;0;2;10;False
2023-01-15;62;67;0;0;12;False
2023-01-16;64;100;0;0;13;False
2023-01-17;78;72;1;0;10;False
2023-01-18;69;87;5;1;15;False
2023-01-19;64;91;3;0;13;False
2023-01-20;59;86;0;1;11;False
2023-01-21;63;74;0;0;12;False
2023-01-22;65;72;2;0;13;False
2023-01-23;68;89;0;0;13;False
2023-01-24;67;95;0;0;10;False
2023-01-25;51;93;0;0;14;False
2023-01-26;47;75;0;2;13;False
2023-01-27;65;78;1;1;9;False
2023-01-28;59;70;0;0;12;False
2023-01-29;61;80;0;2;11;False
2023-01-30;76;89;0;2;18;False
2023-01-31;67;88;0;0;16;False
