date;sam bankman-fried;Biscuits;Aristocracy;UK weather;air travel;isPartial
2022-01-02;0;11;0;44;2;False
2022-01-09;0;10;0;27;2;False
2022-01-16;0;10;0;27;2;False
2022-01-23;0;11;1;28;2;False
2022-01-30;0;11;0;34;2;False
2022-02-06;0;10;0;31;2;False
2022-02-13;0;10;0;75;2;False
2022-02-20;0;10;0;48;2;False
2022-02-27;0;9;0;31;2;False
2022-03-06;0;10;0;31;2;False
2022-03-13;0;10;0;32;2;False
2022-03-20;0;10;0;29;2;False
2022-03-27;0;9;0;42;2;False
2022-04-03;0;11;0;37;2;False
2022-04-10;0;12;0;36;2;False
2022-04-17;0;9;0;32;2;False
2022-04-24;0;9;0;31;2;False
2022-05-01;0;10;0;36;2;False
2022-05-08;0;9;0;39;2;False
2022-05-15;0;9;0;52;2;False
2022-05-22;0;10;0;41;2;False
2022-05-29;0;12;0;54;2;False
2022-06-05;0;10;0;43;2;False
2022-06-12;0;9;0;52;2;False
2022-06-19;0;8;0;51;2;False
2022-06-26;0;9;0;47;2;False
2022-07-03;0;9;0;41;2;False
2022-07-10;0;9;0;75;2;False
2022-07-17;0;8;0;100;2;False
2022-07-24;0;9;0;49;2;False
2022-07-31;0;9;0;46;2;False
2022-08-07;0;8;0;52;2;False
2022-08-14;0;9;0;63;2;False
2022-08-21;0;9;0;45;2;False
2022-08-28;0;9;0;40;2;False
2022-09-04;0;9;0;54;2;False
2022-09-11;0;10;0;34;2;False
2022-09-18;0;13;0;29;2;False
2022-09-25;0;11;0;38;2;False
2022-10-02;0;11;0;35;2;False
2022-10-09;0;11;0;30;1;False
2022-10-16;0;11;0;35;1;False
2022-10-23;0;13;0;38;1;False
2022-10-30;0;13;0;36;1;False
2022-11-06;2;13;0;32;1;False
2022-11-13;2;15;0;34;1;False
2022-11-20;1;13;0;37;1;False
2022-11-27;1;15;0;30;1;False
2022-12-04;1;16;0;47;1;False
2022-12-11;2;19;0;64;1;False
2022-12-18;1;23;0;39;1;False
2022-12-25;1;10;0;43;2;False
2023-01-01;1;10;0;35;2;False
2023-01-08;0;10;0;39;2;False
2023-01-15;0;11;0;48;2;False
2023-01-22;0;12;0;33;1;False
2023-01-29;0;10;0;29;2;False
