date;Fat White Family;Handbags;Rice;united states;air travel;isPartial
2023-01-01;0;9;86;5;2;False
2023-01-02;0;10;100;3;3;False
2023-01-03;0;8;90;5;2;False
2023-01-04;1;8;85;5;3;False
2023-01-05;0;9;84;5;2;False
2023-01-06;0;8;83;5;2;False
2023-01-07;0;10;82;3;2;False
2023-01-08;0;10;84;5;3;False
2023-01-09;0;7;76;5;2;False
2023-01-10;0;7;76;5;2;False
2023-01-11;0;8;71;4;3;False
2023-01-12;0;8;71;5;2;False
2023-01-13;0;9;70;4;2;False
2023-01-14;0;10;79;5;2;False
2023-01-15;0;9;78;6;2;False
2023-01-16;0;8;79;5;2;False
2023-01-17;0;8;76;4;2;False
2023-01-18;0;8;72;5;3;False
2023-01-19;0;9;72;5;2;False
2023-01-20;0;8;74;5;2;False
2023-01-21;1;11;83;3;2;False
2023-01-22;0;11;84;5;2;False
2023-01-23;0;7;80;6;2;False
2023-01-24;0;8;72;5;2;False
2023-01-25;0;8;75;6;2;False
2023-01-26;0;7;68;4;2;False
2023-01-27;0;8;67;6;1;False
2023-01-28;0;9;76;4;2;False
2023-01-29;0;7;78;4;2;False
2023-01-30;0;7;78;5;3;False
2023-01-31;0;8;76;5;3;False
