date;Americana;Sickle cell disease;THG;Coco Gauff;air travel;isPartial
2022-01-02;8;5;31;3;36;False
2022-01-09;9;5;33;5;41;False
2022-01-16;8;5;36;6;31;False
2022-01-23;9;4;40;1;34;False
2022-01-30;9;3;37;0;38;False
2022-02-06;8;5;42;1;38;False
2022-02-13;7;3;29;2;39;False
2022-02-20;8;6;35;3;39;False
2022-02-27;8;3;33;0;35;False
2022-03-06;8;5;26;2;36;False
2022-03-13;10;4;24;3;36;False
2022-03-20;11;4;25;4;35;False
2022-03-27;8;4;23;3;37;False
2022-04-03;8;3;22;0;34;False
2022-04-10;11;3;21;1;30;False
2022-04-17;8;3;35;3;33;False
2022-04-24;8;5;28;2;34;False
2022-05-01;9;4;27;4;35;False
2022-05-08;10;4;24;4;36;False
2022-05-15;9;5;40;1;37;False
2022-05-22;8;3;41;6;35;False
2022-05-29;9;2;27;68;36;False
2022-06-05;7;3;30;11;40;False
2022-06-12;10;5;41;7;35;False
2022-06-19;9;3;30;5;33;False
2022-06-26;10;2;29;100;35;False
2022-07-03;8;2;23;17;37;False
2022-07-10;9;2;22;2;38;False
2022-07-17;8;2;24;0;36;False
2022-07-24;9;2;28;1;36;False
2022-07-31;8;1;22;3;33;False
2022-08-07;9;1;23;9;32;False
2022-08-14;6;2;21;7;31;False
2022-08-21;10;2;18;2;27;False
2022-08-28;9;2;21;18;30;False
2022-09-04;12;2;22;24;32;False
2022-09-11;9;4;37;2;28;False
2022-09-18;7;3;24;1;27;False
2022-09-25;8;3;25;0;27;False
2022-10-02;10;6;22;1;26;False
2022-10-09;8;5;23;4;26;False
2022-10-16;8;5;36;5;23;False
2022-10-23;9;4;32;0;21;False
2022-10-30;7;5;23;4;21;False
2022-11-06;10;6;31;3;24;False
2022-11-13;7;5;27;0;20;False
2022-11-20;7;4;26;0;25;False
2022-11-27;8;4;24;0;24;False
2022-12-04;6;4;21;0;21;False
2022-12-11;9;4;19;0;21;False
2022-12-18;7;2;22;1;20;False
2022-12-25;7;2;14;0;27;False
2023-01-01;9;4;19;6;31;False
2023-01-08;8;3;26;4;28;False
2023-01-15;10;4;35;43;28;False
2023-01-22;10;3;25;11;26;False
2023-01-29;9;4;26;2;28;False
