date;Kyiv;Nuclear weapons;Breakfast TV;newcastle;air travel;isPartial
2022-01-02;0;0;0;69;1;False
2022-01-09;0;0;0;70;1;False
2022-01-16;0;0;0;62;1;False
2022-01-23;1;1;0;64;1;False
2022-01-30;1;0;0;67;1;False
2022-02-06;0;0;0;64;1;False
2022-02-13;1;1;0;68;1;False
2022-02-20;20;7;0;58;1;False
2022-02-27;16;14;0;55;1;False
2022-03-06;5;3;0;62;1;False
2022-03-13;3;1;0;67;1;False
2022-03-20;2;2;0;51;1;False
2022-03-27;1;1;0;52;1;False
2022-04-03;1;1;0;67;1;False
2022-04-10;1;1;0;50;1;False
2022-04-17;1;1;0;63;1;False
2022-04-24;1;1;0;68;1;False
2022-05-01;1;1;0;57;1;False
2022-05-08;1;1;0;61;1;False
2022-05-15;1;1;0;76;1;False
2022-05-22;0;0;0;59;1;False
2022-05-29;1;0;0;60;1;False
2022-06-05;1;0;0;56;1;False
2022-06-12;1;0;0;57;1;False
2022-06-19;0;0;0;58;1;False
2022-06-26;1;0;0;64;1;False
2022-07-03;0;0;0;58;1;False
2022-07-10;0;0;0;60;1;False
2022-07-17;0;0;0;61;1;False
2022-07-24;1;0;0;69;1;False
2022-07-31;0;0;0;72;1;False
2022-08-07;0;0;0;69;1;False
2022-08-14;1;0;0;58;1;False
2022-08-21;1;0;0;85;1;False
2022-08-28;1;0;0;100;1;False
2022-09-04;1;0;0;56;1;False
2022-09-11;1;1;0;61;1;False
2022-09-18;1;2;0;52;1;False
2022-09-25;1;1;0;58;1;False
2022-10-02;1;2;0;61;1;False
2022-10-09;2;1;0;57;1;False
2022-10-16;1;1;0;76;1;False
2022-10-23;0;1;0;69;1;False
2022-10-30;1;1;0;56;1;False
2022-11-06;1;1;0;87;1;False
2022-11-13;1;0;0;51;1;False
2022-11-20;1;0;0;45;1;False
2022-11-27;1;0;0;46;1;False
2022-12-04;1;0;0;46;1;False
2022-12-11;1;0;0;48;1;False
2022-12-18;0;0;0;54;1;False
2022-12-25;0;0;0;70;1;False
2023-01-01;1;0;0;76;1;False
2023-01-08;1;0;0;70;1;False
2023-01-15;1;0;0;78;1;False
2023-01-22;0;0;0;82;1;False
2023-01-29;1;1;0;96;1;False
