date;Sarah Hanson-Young;Michelangelo;Stormy Daniels;Czech Republic;air travel;isPartial
2022-01-02;0;10;1;27;28;False
2022-01-09;0;12;1;29;32;False
2022-01-16;0;11;2;27;24;False
2022-01-23;0;14;3;30;26;False
2022-01-30;0;14;4;30;30;False
2022-02-06;0;11;1;32;30;False
2022-02-13;0;13;2;33;30;False
2022-02-20;0;15;1;42;31;False
2022-02-27;0;11;1;42;27;False
2022-03-06;0;12;1;37;28;False
2022-03-13;0;11;1;39;28;False
2022-03-20;0;14;7;54;27;False
2022-03-27;0;17;1;68;29;False
2022-04-03;0;13;1;37;27;False
2022-04-10;0;13;1;34;23;False
2022-04-17;0;15;1;28;26;False
2022-04-24;0;14;2;26;26;False
2022-05-01;0;14;1;31;27;False
2022-05-08;0;10;1;44;28;False
2022-05-15;0;15;1;42;29;False
2022-05-22;1;14;1;28;28;False
2022-05-29;0;12;2;37;28;False
2022-06-05;0;13;1;72;31;False
2022-06-12;0;14;1;40;27;False
2022-06-19;0;15;1;27;25;False
2022-06-26;0;14;1;29;27;False
2022-07-03;0;14;1;29;29;False
2022-07-10;0;14;0;30;30;False
2022-07-17;0;13;1;25;28;False
2022-07-24;0;14;1;30;28;False
2022-07-31;0;22;1;28;25;False
2022-08-07;0;14;1;27;25;False
2022-08-14;0;10;1;27;24;False
2022-08-21;0;13;1;24;21;False
2022-08-28;0;16;0;23;23;False
2022-09-04;0;12;2;32;25;False
2022-09-11;0;11;0;30;22;False
2022-09-18;0;11;1;50;21;False
2022-09-25;0;10;1;43;21;False
2022-10-02;0;12;2;32;20;False
2022-10-09;0;12;1;100;20;False
2022-10-16;0;13;1;32;18;False
2022-10-23;0;12;1;26;17;False
2022-10-30;0;12;1;24;17;False
2022-11-06;0;13;1;25;19;False
2022-11-13;0;9;2;32;16;False
2022-11-20;0;12;2;28;20;False
2022-11-27;0;10;2;28;19;False
2022-12-04;0;11;3;27;16;False
2022-12-11;0;11;1;22;17;False
2022-12-18;0;12;1;29;16;False
2022-12-25;1;11;1;24;21;False
2023-01-01;0;10;1;27;24;False
2023-01-08;0;12;1;28;22;False
2023-01-15;0;12;1;27;22;False
2023-01-22;0;12;2;26;20;False
2023-01-29;0;12;2;29;22;False
