date;Brisbane;Philadelphia;jill biden;Barclays;air travel;isPartial
2023-01-01;7;9;0;45;2;False
2023-01-02;9;7;0;65;3;False
2023-01-03;9;6;0;100;2;False
2023-01-04;7;6;0;86;3;False
2023-01-05;6;7;0;85;2;False
2023-01-06;7;7;0;85;2;False
2023-01-07;8;6;0;57;2;False
2023-01-08;9;8;0;50;3;False
2023-01-09;8;8;0;82;2;False
2023-01-10;7;8;0;77;2;False
2023-01-11;7;6;0;73;3;False
2023-01-12;6;6;1;81;2;False
2023-01-13;5;6;0;80;2;False
2023-01-14;7;6;0;60;2;False
2023-01-15;6;7;0;51;2;False
2023-01-16;8;6;0;86;2;False
2023-01-17;5;7;0;78;2;False
2023-01-18;5;6;0;79;2;False
2023-01-19;5;5;0;75;2;False
2023-01-20;6;6;0;86;2;False
2023-01-21;7;6;0;66;2;False
2023-01-22;7;9;0;51;2;False
2023-01-23;6;8;0;84;2;False
2023-01-24;5;7;0;85;2;False
2023-01-25;6;6;0;84;2;False
2023-01-26;5;7;0;79;2;False
2023-01-27;7;5;0;89;1;False
2023-01-28;6;7;0;59;2;False
2023-01-29;8;15;0;57;2;False
2023-01-30;6;10;1;94;3;False
2023-01-31;6;7;0;94;3;False
