date;nicola bulley;Alan Cumming;spice girls;star trek;air travel;isPartial
2022-01-02;0;0;3;14;4;False
2022-01-09;0;0;3;12;4;False
2022-01-16;0;0;2;12;3;False
2022-01-23;0;0;2;13;3;False
2022-01-30;0;0;5;13;4;False
2022-02-06;0;0;3;14;4;False
2022-02-13;0;0;3;14;4;False
2022-02-20;0;0;2;14;4;False
2022-02-27;0;0;3;15;4;False
2022-03-06;0;0;3;15;4;False
2022-03-13;0;0;3;17;4;False
2022-03-20;0;2;3;15;4;False
2022-03-27;0;0;3;14;4;False
2022-04-03;0;0;3;15;3;False
2022-04-10;0;0;3;15;3;False
2022-04-17;0;0;5;13;3;False
2022-04-24;0;0;3;13;3;False
2022-05-01;0;0;4;24;4;False
2022-05-08;0;0;4;18;4;False
2022-05-15;0;0;3;14;4;False
2022-05-22;0;0;4;14;4;False
2022-05-29;0;0;3;13;4;False
2022-06-05;0;0;3;12;4;False
2022-06-12;0;0;3;12;4;False
2022-06-19;0;0;3;15;3;False
2022-06-26;0;0;3;16;4;False
2022-07-03;0;0;3;16;4;False
2022-07-10;0;0;3;15;4;False
2022-07-17;0;1;2;15;4;False
2022-07-24;0;1;3;15;4;False
2022-07-31;0;1;3;20;3;False
2022-08-07;0;2;3;15;3;False
2022-08-14;0;1;2;13;3;False
2022-08-21;0;1;3;13;3;False
2022-08-28;0;1;3;13;3;False
2022-09-04;0;0;2;14;3;False
2022-09-11;0;0;3;12;3;False
2022-09-18;0;0;3;11;3;False
2022-09-25;0;0;4;11;3;False
2022-10-02;0;0;4;12;3;False
2022-10-09;0;0;3;11;3;False
2022-10-16;0;0;3;11;2;False
2022-10-23;0;0;4;12;2;False
2022-10-30;0;1;3;12;2;False
2022-11-06;0;3;4;10;2;False
2022-11-13;0;2;2;10;2;False
2022-11-20;0;1;2;10;3;False
2022-11-27;0;1;3;12;2;False
2022-12-04;0;1;3;11;2;False
2022-12-11;0;0;3;16;2;False
2022-12-18;0;1;4;12;2;False
2022-12-25;0;1;4;13;3;False
2023-01-01;0;1;4;12;3;False
2023-01-08;0;4;3;12;3;False
2023-01-15;0;5;3;14;3;False
2023-01-22;0;7;3;12;3;False
2023-01-29;100;3;3;13;3;False
