date;Ken Loach;Rory McIlroy;Eddie Redmayne;Reality TV;air travel;isPartial
2022-01-02;2;5;10;10;23;False
2022-01-09;1;6;11;9;26;False
2022-01-16;2;16;9;7;20;False
2022-01-23;1;21;8;7;22;False
2022-01-30;4;20;6;7;25;False
2022-02-06;7;6;6;6;25;False
2022-02-13;2;14;7;7;25;False
2022-02-20;2;13;6;7;26;False
2022-02-27;3;20;10;7;22;False
2022-03-06;2;31;8;8;24;False
2022-03-13;2;23;17;7;23;False
2022-03-20;2;10;8;7;23;False
2022-03-27;3;14;7;8;24;False
2022-04-03;2;54;12;8;22;False
2022-04-10;1;72;25;8;19;False
2022-04-17;1;7;13;7;21;False
2022-04-24;1;5;6;7;22;False
2022-05-01;2;18;11;6;23;False
2022-05-08;2;14;8;7;23;False
2022-05-15;2;43;5;6;24;False
2022-05-22;4;22;5;7;23;False
2022-05-29;2;17;6;6;24;False
2022-06-05;1;29;6;8;26;False
2022-06-12;2;82;6;8;23;False
2022-06-19;2;64;6;8;21;False
2022-06-26;2;22;5;6;23;False
2022-07-03;1;16;4;8;24;False
2022-07-10;1;100;5;7;25;False
2022-07-17;1;99;5;5;24;False
2022-07-24;2;8;4;7;24;False
2022-07-31;1;6;4;7;21;False
2022-08-07;1;15;4;6;21;False
2022-08-14;1;22;3;6;20;False
2022-08-21;1;32;5;6;18;False
2022-08-28;1;54;6;6;19;False
2022-09-04;1;26;4;6;21;False
2022-09-11;1;44;5;7;18;False
2022-09-18;1;17;4;7;17;False
2022-09-25;2;19;6;6;18;False
2022-10-02;2;13;5;7;17;False
2022-10-09;2;6;4;5;16;False
2022-10-16;3;18;11;7;15;False
2022-10-23;1;28;60;6;14;False
2022-10-30;1;7;32;7;14;False
2022-11-06;2;5;15;9;16;False
2022-11-13;2;17;12;8;13;False
2022-11-20;2;17;6;6;16;False
2022-11-27;1;6;6;7;16;False
2022-12-04;1;4;5;8;14;False
2022-12-11;3;3;7;6;14;False
2022-12-18;2;5;9;4;13;False
2022-12-25;1;5;13;6;17;False
2023-01-01;2;7;8;7;20;False
2023-01-08;2;6;7;7;19;False
2023-01-15;4;7;6;8;18;False
2023-01-22;2;39;11;9;17;False
2023-01-29;2;41;6;8;18;False
