date;Role playing games;Davos;Windrush scandal;Pensions industry;air travel;isPartial
2023-01-01;0;9;0;0;20;False
2023-01-02;0;11;0;0;24;False
2023-01-03;0;7;0;0;15;False
2023-01-04;0;13;2;0;23;False
2023-01-05;1;13;1;0;19;False
2023-01-06;0;12;0;2;19;False
2023-01-07;0;9;0;0;14;False
2023-01-08;0;10;0;0;22;False
2023-01-09;0;19;3;2;13;False
2023-01-10;1;17;0;0;21;False
2023-01-11;0;21;0;0;23;False
2023-01-12;0;21;0;0;19;False
2023-01-13;0;27;5;0;16;False
2023-01-14;0;13;2;0;15;False
2023-01-15;0;27;2;0;17;False
2023-01-16;0;91;3;0;18;False
2023-01-17;0;91;3;0;15;False
2023-01-18;1;96;0;1;21;False
2023-01-19;0;100;3;0;19;False
2023-01-20;2;92;0;0;15;False
2023-01-21;4;43;0;0;16;False
2023-01-22;0;31;0;0;18;False
2023-01-23;2;24;0;3;19;False
2023-01-24;0;25;0;0;14;False
2023-01-25;0;15;0;0;20;False
2023-01-26;0;17;2;4;18;False
2023-01-27;0;11;3;0;12;False
2023-01-28;4;2;4;0;17;False
2023-01-29;3;21;0;2;16;False
2023-01-30;0;18;0;0;26;False
2023-01-31;2;11;0;0;22;False
