date;Herman Melville;Evgeny Lebedev;golden globes;Channel 5;air travel;isPartial
2022-01-02;1;0;3;28;9;False
2022-01-09;0;0;28;28;9;False
2022-01-16;0;0;4;28;7;False
2022-01-23;1;0;2;32;8;False
2022-01-30;0;0;2;93;9;False
2022-02-06;0;0;3;40;9;False
2022-02-13;0;0;2;27;9;False
2022-02-20;0;1;1;30;9;False
2022-02-27;0;2;1;82;8;False
2022-03-06;0;4;1;37;9;False
2022-03-13;0;3;1;27;9;False
2022-03-20;0;1;1;24;8;False
2022-03-27;0;1;6;26;9;False
2022-04-03;0;0;4;58;8;False
2022-04-10;0;0;2;38;7;False
2022-04-17;0;0;1;24;8;False
2022-04-24;0;0;1;21;8;False
2022-05-01;0;0;1;22;8;False
2022-05-08;0;0;1;22;8;False
2022-05-15;0;0;0;24;9;False
2022-05-22;0;0;1;22;8;False
2022-05-29;0;0;1;23;9;False
2022-06-05;0;0;1;21;10;False
2022-06-12;0;0;1;24;8;False
2022-06-19;0;0;1;25;8;False
2022-06-26;0;0;1;21;8;False
2022-07-03;0;0;1;22;9;False
2022-07-10;0;0;1;22;9;False
2022-07-17;0;0;0;24;9;False
2022-07-24;0;0;0;35;9;False
2022-07-31;1;0;0;26;8;False
2022-08-07;0;0;1;24;7;False
2022-08-14;0;0;1;24;7;False
2022-08-21;0;0;1;25;6;False
2022-08-28;0;0;0;23;7;False
2022-09-04;0;0;1;23;8;False
2022-09-11;0;0;1;25;7;False
2022-09-18;0;0;1;25;6;False
2022-09-25;0;0;0;22;6;False
2022-10-02;0;0;1;25;6;False
2022-10-09;0;0;1;45;6;False
2022-10-16;0;0;0;37;5;False
2022-10-23;0;0;0;29;5;False
2022-10-30;0;0;0;27;5;False
2022-11-06;0;0;1;23;6;False
2022-11-13;0;0;1;26;5;False
2022-11-20;0;0;1;21;6;False
2022-11-27;0;0;1;23;6;False
2022-12-04;0;0;1;22;5;False
2022-12-11;0;0;8;22;5;False
2022-12-18;0;0;2;27;5;False
2022-12-25;0;0;1;58;6;False
2023-01-01;0;0;3;29;7;False
2023-01-08;0;0;100;28;7;False
2023-01-15;0;0;14;27;7;False
2023-01-22;0;0;6;45;6;False
2023-01-29;0;0;2;38;7;False
