date;birmingham;Pennsylvania;Country;Role playing games;air travel;isPartial
2022-01-02;71;0;44;0;1;False
2022-01-09;72;0;47;0;1;False
2022-01-16;70;0;44;0;1;False
2022-01-23;75;0;44;0;1;False
2022-01-30;79;0;48;0;1;False
2022-02-06;75;0;46;0;1;False
2022-02-13;80;0;43;0;1;False
2022-02-20;86;0;55;0;1;False
2022-02-27;76;0;58;0;1;False
2022-03-06;78;0;52;0;1;False
2022-03-13;81;0;48;0;1;False
2022-03-20;82;0;50;0;1;False
2022-03-27;77;0;47;0;1;False
2022-04-03;77;0;47;0;1;False
2022-04-10;79;0;51;0;1;False
2022-04-17;75;0;49;0;1;False
2022-04-24;76;0;42;0;1;False
2022-05-01;86;0;49;0;1;False
2022-05-08;93;0;49;0;1;False
2022-05-15;83;0;44;0;1;False
2022-05-22;81;0;44;0;1;False
2022-05-29;89;0;47;0;1;False
2022-06-05;86;0;46;0;1;False
2022-06-12;90;0;43;0;1;False
2022-06-19;90;0;45;0;1;False
2022-06-26;89;0;45;0;1;False
2022-07-03;82;0;49;0;1;False
2022-07-10;93;0;52;0;1;False
2022-07-17;88;0;47;0;1;False
2022-07-24;100;0;52;0;1;False
2022-07-31;100;0;51;0;1;False
2022-08-07;94;0;50;0;1;False
2022-08-14;85;0;43;0;1;False
2022-08-21;85;0;46;0;1;False
2022-08-28;87;0;48;0;1;False
2022-09-04;79;0;45;0;1;False
2022-09-11;86;0;47;0;1;False
2022-09-18;86;0;44;0;1;False
2022-09-25;86;0;43;0;1;False
2022-10-02;80;0;45;0;1;False
2022-10-09;83;0;46;0;1;False
2022-10-16;79;0;41;0;1;False
2022-10-23;83;0;44;0;1;False
2022-10-30;81;0;41;0;1;False
2022-11-06;87;0;42;0;1;False
2022-11-13;75;0;44;0;1;False
2022-11-20;72;0;42;0;1;False
2022-11-27;72;0;44;0;1;False
2022-12-04;77;0;42;0;1;False
2022-12-11;73;0;41;0;1;False
2022-12-18;73;0;42;0;1;False
2022-12-25;78;0;43;0;1;False
2023-01-01;74;0;45;0;1;False
2023-01-08;71;0;43;0;1;False
2023-01-15;76;0;44;0;1;False
2023-01-22;79;0;44;0;1;False
2023-01-29;82;0;44;0;1;False
