date;Peta;sainsburys;Notting Hill carnival;Union Berlin;air travel;isPartial
2022-01-02;1;100;0;0;2;False
2022-01-09;1;87;0;0;2;False
2022-01-16;1;76;0;0;2;False
2022-01-23;1;83;0;0;2;False
2022-01-30;1;84;0;0;2;False
2022-02-06;1;77;1;0;2;False
2022-02-13;1;70;0;1;2;False
2022-02-20;1;72;0;0;2;False
2022-02-27;1;70;0;1;2;False
2022-03-06;1;71;0;0;2;False
2022-03-13;1;84;0;1;2;False
2022-03-20;1;79;0;0;2;False
2022-03-27;1;66;0;0;2;False
2022-04-03;1;70;0;0;2;False
2022-04-10;1;89;0;0;2;False
2022-04-17;1;82;0;1;2;False
2022-04-24;1;67;0;1;2;False
2022-05-01;1;77;0;0;2;False
2022-05-08;1;67;0;0;2;False
2022-05-15;1;73;0;0;2;False
2022-05-22;1;74;1;0;2;False
2022-05-29;1;93;1;0;2;False
2022-06-05;1;68;1;0;2;False
2022-06-12;1;72;1;0;2;False
2022-06-19;1;71;1;0;2;False
2022-06-26;1;70;1;0;2;False
2022-07-03;1;72;1;0;2;False
2022-07-10;1;81;1;0;2;False
2022-07-17;1;71;1;1;2;False
2022-07-24;1;62;1;0;2;False
2022-07-31;1;52;2;0;2;False
2022-08-07;1;56;3;0;2;False
2022-08-14;1;48;4;0;2;False
2022-08-21;1;55;16;0;1;False
2022-08-28;1;56;27;1;2;False
2022-09-04;1;54;1;1;2;False
2022-09-11;1;50;0;1;1;False
2022-09-18;1;61;0;1;1;False
2022-09-25;1;56;0;0;1;False
2022-10-02;1;50;0;1;1;False
2022-10-09;1;56;0;1;1;False
2022-10-16;1;51;0;1;1;False
2022-10-23;1;50;0;1;1;False
2022-10-30;1;50;0;1;1;False
2022-11-06;1;52;0;1;1;False
2022-11-13;1;60;0;0;1;False
2022-11-20;1;51;0;0;1;False
2022-11-27;1;57;0;0;1;False
2022-12-04;1;55;0;0;1;False
2022-12-11;1;59;0;0;1;False
2022-12-18;1;87;0;0;1;False
2022-12-25;1;71;0;0;1;False
2023-01-01;1;57;0;0;2;False
2023-01-08;1;41;0;0;1;False
2023-01-15;1;42;0;1;1;False
2023-01-22;1;43;0;1;1;False
2023-01-29;1;43;0;1;1;False
