date;Plastics;Careers;David Frost;Milan;air travel;isPartial
2022-01-02;9;80;1;30;6;False
2022-01-09;11;84;1;43;7;False
2022-01-16;11;77;1;33;5;False
2022-01-23;11;86;1;30;5;False
2022-01-30;11;83;1;33;6;False
2022-02-06;11;83;0;33;6;False
2022-02-13;9;78;0;66;6;False
2022-02-20;11;77;0;43;6;False
2022-02-27;11;78;0;41;6;False
2022-03-06;11;86;0;66;6;False
2022-03-13;11;77;1;53;6;False
2022-03-20;11;78;1;47;6;False
2022-03-27;11;78;1;40;6;False
2022-04-03;10;74;0;54;5;False
2022-04-10;9;66;0;55;5;False
2022-04-17;11;66;1;50;5;False
2022-04-24;11;76;0;53;5;False
2022-05-01;11;74;1;57;6;False
2022-05-08;11;76;0;54;6;False
2022-05-15;11;82;0;55;6;False
2022-05-22;11;71;1;68;6;False
2022-05-29;8;59;1;44;6;False
2022-06-05;10;76;1;42;6;False
2022-06-12;10;74;1;41;6;False
2022-06-19;10;77;1;39;5;False
2022-06-26;9;74;1;38;6;False
2022-07-03;11;76;1;36;6;False
2022-07-10;10;76;2;39;6;False
2022-07-17;10;74;1;38;6;False
2022-07-24;10;79;1;38;6;False
2022-07-31;10;76;1;38;5;False
2022-08-07;10;74;1;43;5;False
2022-08-14;9;73;1;35;5;False
2022-08-21;10;78;0;50;4;False
2022-08-28;9;71;1;56;5;False
2022-09-04;11;83;1;57;5;False
2022-09-11;10;88;1;55;4;False
2022-09-18;10;78;0;50;4;False
2022-09-25;10;88;1;36;4;False
2022-10-02;10;93;1;90;4;False
2022-10-09;10;98;1;82;4;False
2022-10-16;10;90;1;52;4;False
2022-10-23;9;80;1;48;3;False
2022-10-30;9;87;0;51;3;False
2022-11-06;10;89;0;42;4;False
2022-11-13;10;80;1;31;3;False
2022-11-20;8;72;1;24;4;False
2022-11-27;10;75;1;24;4;False
2022-12-04;9;67;1;23;3;False
2022-12-11;8;66;0;82;3;False
2022-12-18;6;55;1;25;3;False
2022-12-25;5;49;1;30;4;False
2023-01-01;8;84;0;41;5;False
2023-01-08;10;90;1;58;5;False
2023-01-15;11;96;0;57;4;False
2023-01-22;10;97;0;50;4;False
2023-01-29;10;100;1;48;4;False
