date;Bryan Singer;Kent;North African food and drink;Legal and General;air travel;isPartial
2022-01-02;0;56;0;0;2;False
2022-01-09;0;60;0;0;2;False
2022-01-16;0;59;0;0;2;False
2022-01-23;0;58;0;0;2;False
2022-01-30;0;61;0;0;2;False
2022-02-06;0;60;0;0;2;False
2022-02-13;0;67;0;0;2;False
2022-02-20;0;64;0;0;2;False
2022-02-27;0;55;0;0;2;False
2022-03-06;0;60;0;0;2;False
2022-03-13;0;57;0;0;2;False
2022-03-20;0;63;0;0;2;False
2022-03-27;0;57;0;0;2;False
2022-04-03;0;63;0;5;2;False
2022-04-10;0;61;0;4;2;False
2022-04-17;0;57;0;4;2;False
2022-04-24;0;59;0;4;2;False
2022-05-01;0;62;0;4;2;False
2022-05-08;0;61;0;4;2;False
2022-05-15;0;63;0;4;2;False
2022-05-22;0;61;0;5;2;False
2022-05-29;0;100;0;3;2;False
2022-06-05;0;73;0;4;2;False
2022-06-12;0;64;0;4;2;False
2022-06-19;0;60;0;4;2;False
2022-06-26;0;64;0;4;2;False
2022-07-03;0;60;0;4;2;False
2022-07-10;0;67;0;4;2;False
2022-07-17;0;72;0;4;2;False
2022-07-24;0;67;0;4;2;False
2022-07-31;0;66;0;5;2;False
2022-08-07;0;63;0;5;2;False
2022-08-14;0;61;0;5;2;False
2022-08-21;0;66;0;4;2;False
2022-08-28;0;61;0;4;2;False
2022-09-04;0;59;0;5;2;False
2022-09-11;0;69;0;4;2;False
2022-09-18;0;71;0;4;2;False
2022-09-25;0;60;0;5;2;False
2022-10-02;0;59;0;5;1;False
2022-10-09;0;59;0;5;1;False
2022-10-16;0;62;0;5;1;False
2022-10-23;0;56;0;5;1;False
2022-10-30;0;56;0;5;1;False
2022-11-06;0;55;0;5;1;False
2022-11-13;0;57;0;4;1;False
2022-11-20;0;49;0;4;1;False
2022-11-27;0;48;0;4;1;False
2022-12-04;0;46;0;4;1;False
2022-12-11;1;59;0;3;1;False
2022-12-18;0;49;0;3;1;False
2022-12-25;0;46;0;2;1;False
2023-01-01;0;55;0;4;2;False
2023-01-08;0;56;0;5;2;False
2023-01-15;0;58;0;5;2;False
2023-01-22;0;58;0;5;1;False
2023-01-29;0;59;0;5;2;False
