date;mahsa amini;Michael Rosen;mexico;Reptiles;air travel;isPartial
2022-01-02;0;0;27;2;2;False
2022-01-09;0;4;29;1;3;False
2022-01-16;0;1;27;1;2;False
2022-01-23;0;1;28;2;2;False
2022-01-30;0;1;27;2;2;False
2022-02-06;0;1;24;1;2;False
2022-02-13;0;1;24;1;2;False
2022-02-20;0;1;26;2;2;False
2022-02-27;0;1;23;1;2;False
2022-03-06;0;1;26;2;2;False
2022-03-13;0;0;25;1;2;False
2022-03-20;0;1;25;2;2;False
2022-03-27;0;1;27;2;2;False
2022-04-03;0;1;23;1;2;False
2022-04-10;0;1;21;2;2;False
2022-04-17;0;1;22;1;2;False
2022-04-24;0;1;22;2;2;False
2022-05-01;0;1;25;1;2;False
2022-05-08;0;1;23;2;2;False
2022-05-15;0;1;22;1;2;False
2022-05-22;0;1;21;1;2;False
2022-05-29;0;0;22;1;2;False
2022-06-05;0;1;21;1;2;False
2022-06-12;0;1;23;1;2;False
2022-06-19;0;1;20;1;2;False
2022-06-26;0;1;21;1;2;False
2022-07-03;0;1;18;1;2;False
2022-07-10;0;1;22;1;2;False
2022-07-17;0;1;22;1;2;False
2022-07-24;0;1;22;1;2;False
2022-07-31;0;1;20;1;2;False
2022-08-07;0;1;22;1;2;False
2022-08-14;0;1;21;1;2;False
2022-08-21;0;1;19;1;2;False
2022-08-28;0;1;20;1;2;False
2022-09-04;0;1;19;1;2;False
2022-09-11;0;1;20;2;2;False
2022-09-18;5;1;24;1;2;False
2022-09-25;3;1;21;1;2;False
2022-10-02;2;1;20;1;2;False
2022-10-09;1;1;19;1;2;False
2022-10-16;1;1;20;1;1;False
2022-10-23;1;1;27;1;1;False
2022-10-30;0;1;28;1;1;False
2022-11-06;0;1;20;1;1;False
2022-11-13;0;1;23;1;1;False
2022-11-20;1;0;100;1;2;False
2022-11-27;0;0;49;1;1;False
2022-12-04;0;1;17;1;1;False
2022-12-11;0;1;16;1;1;False
2022-12-18;0;0;19;1;1;False
2022-12-25;0;0;21;1;2;False
2023-01-01;0;1;25;1;2;False
2023-01-08;0;1;25;1;2;False
2023-01-15;0;1;24;2;2;False
2023-01-22;0;1;21;1;2;False
2023-01-29;0;2;21;2;2;False
