date;AL Kennedy;cardi b;Oxford;sussex;air travel;isPartial
2022-01-02;0;2;72;25;2;False
2022-01-09;0;2;79;26;2;False
2022-01-16;0;2;74;25;2;False
2022-01-23;0;3;77;25;2;False
2022-01-30;0;2;86;26;2;False
2022-02-06;0;2;81;26;2;False
2022-02-13;0;2;83;25;2;False
2022-02-20;0;2;84;26;2;False
2022-02-27;0;2;80;27;2;False
2022-03-06;0;2;76;27;2;False
2022-03-13;0;2;81;27;2;False
2022-03-20;0;2;78;25;2;False
2022-03-27;0;2;81;26;2;False
2022-04-03;0;2;83;26;2;False
2022-04-10;0;3;85;25;2;False
2022-04-17;0;2;79;27;2;False
2022-04-24;0;2;79;25;2;False
2022-05-01;0;3;86;28;2;False
2022-05-08;0;2;79;27;2;False
2022-05-15;0;2;80;24;2;False
2022-05-22;0;2;83;26;2;False
2022-05-29;0;2;84;27;2;False
2022-06-05;0;2;83;29;2;False
2022-06-12;0;2;77;25;2;False
2022-06-19;0;2;82;27;2;False
2022-06-26;0;2;82;25;2;False
2022-07-03;0;3;80;26;2;False
2022-07-10;0;4;83;27;2;False
2022-07-17;0;2;86;25;2;False
2022-07-24;0;2;83;27;2;False
2022-07-31;0;2;79;27;2;False
2022-08-07;0;2;98;30;2;False
2022-08-14;0;2;79;29;2;False
2022-08-21;0;2;81;29;1;False
2022-08-28;0;2;84;29;2;False
2022-09-04;0;3;84;39;2;False
2022-09-11;0;4;99;31;2;False
2022-09-18;0;2;85;30;1;False
2022-09-25;0;2;91;27;1;False
2022-10-02;0;2;95;26;1;False
2022-10-09;0;2;87;25;1;False
2022-10-16;0;2;87;24;1;False
2022-10-23;0;2;84;24;1;False
2022-10-30;0;4;84;24;1;False
2022-11-06;0;2;86;24;1;False
2022-11-13;0;1;89;23;1;False
2022-11-20;0;1;76;21;1;False
2022-11-27;0;2;89;22;1;False
2022-12-04;0;2;79;22;1;False
2022-12-11;0;2;83;25;1;False
2022-12-18;0;2;80;20;1;False
2022-12-25;0;2;74;18;1;False
2023-01-01;0;2;80;24;2;False
2023-01-08;0;1;100;26;2;False
2023-01-15;0;2;78;26;2;False
2023-01-22;0;2;82;30;1;False
2023-01-29;0;1;79;28;1;False
