date;Flannery O'Connor;Tactical voting;The Banshees of Inisherin;cctv;air travel;isPartial
2022-01-02;0;0;0;91;23;False
2022-01-09;0;0;0;92;25;False
2022-01-16;0;0;0;89;20;False
2022-01-23;0;0;0;91;22;False
2022-01-30;0;0;0;100;25;False
2022-02-06;0;0;0;92;25;False
2022-02-13;0;0;0;81;25;False
2022-02-20;0;1;0;90;25;False
2022-02-27;0;0;0;81;22;False
2022-03-06;0;0;0;82;23;False
2022-03-13;0;0;0;79;23;False
2022-03-20;0;0;0;85;23;False
2022-03-27;0;1;0;77;24;False
2022-04-03;0;1;0;74;22;False
2022-04-10;0;1;0;74;19;False
2022-04-17;0;2;0;70;21;False
2022-04-24;0;2;0;68;22;False
2022-05-01;0;8;0;74;23;False
2022-05-08;0;0;0;75;23;False
2022-05-15;0;0;0;74;24;False
2022-05-22;0;0;0;76;23;False
2022-05-29;0;0;0;73;23;False
2022-06-05;0;0;0;82;26;False
2022-06-12;0;0;0;74;23;False
2022-06-19;0;1;0;80;21;False
2022-06-26;0;2;1;79;23;False
2022-07-03;0;0;0;76;24;False
2022-07-10;0;0;0;80;25;False
2022-07-17;0;0;0;74;24;False
2022-07-24;0;0;2;80;23;False
2022-07-31;0;0;4;74;21;False
2022-08-07;0;0;3;76;20;False
2022-08-14;0;0;1;75;20;False
2022-08-21;0;0;1;76;17;False
2022-08-28;0;0;1;73;19;False
2022-09-04;0;0;8;74;21;False
2022-09-11;0;0;5;77;18;False
2022-09-18;0;0;3;73;17;False
2022-09-25;0;0;3;77;18;False
2022-10-02;0;0;7;75;17;False
2022-10-09;0;0;20;80;16;False
2022-10-16;0;0;69;74;15;False
2022-10-23;0;0;87;75;14;False
2022-10-30;0;0;53;75;14;False
2022-11-06;0;0;40;76;15;False
2022-11-13;0;1;32;75;13;False
2022-11-20;0;0;18;73;16;False
2022-11-27;0;0;13;72;16;False
2022-12-04;0;0;10;69;13;False
2022-12-11;0;0;30;77;14;False
2022-12-18;0;0;54;69;13;False
2022-12-25;0;0;68;62;17;False
2023-01-01;0;0;47;64;20;False
2023-01-08;0;0;69;72;18;False
2023-01-15;0;0;48;72;18;False
2023-01-22;0;0;62;75;17;False
2023-01-29;0;0;35;79;18;False
