date;Northern Ireland;Jonathan Raban;Steve Barclay;kwasi kwarteng;air travel;isPartial
2022-01-02;70;0;0;0;4;False
2022-01-09;62;0;0;0;4;False
2022-01-16;63;0;0;1;3;False
2022-01-23;65;0;0;0;3;False
2022-01-30;70;0;2;0;4;False
2022-02-06;61;0;1;1;4;False
2022-02-13;62;0;0;0;4;False
2022-02-20;62;0;0;0;4;False
2022-02-27;56;0;0;0;4;False
2022-03-06;55;0;0;0;4;False
2022-03-13;60;0;0;0;4;False
2022-03-20;68;0;0;0;4;False
2022-03-27;61;0;0;0;4;False
2022-04-03;58;0;0;1;3;False
2022-04-10;61;0;0;0;3;False
2022-04-17;54;0;0;0;3;False
2022-04-24;57;0;0;0;3;False
2022-05-01;100;0;0;0;4;False
2022-05-08;71;0;0;0;4;False
2022-05-15;64;0;0;1;4;False
2022-05-22;59;0;0;0;4;False
2022-05-29;63;0;0;0;4;False
2022-06-05;66;0;0;0;4;False
2022-06-12;62;0;0;0;4;False
2022-06-19;60;0;0;0;3;False
2022-06-26;54;0;0;0;4;False
2022-07-03;64;0;12;2;4;False
2022-07-10;77;0;0;1;4;False
2022-07-17;57;0;1;1;4;False
2022-07-24;61;0;0;1;4;False
2022-07-31;60;0;0;1;3;False
2022-08-07;55;0;0;0;3;False
2022-08-14;54;0;0;1;3;False
2022-08-21;62;0;2;1;3;False
2022-08-28;54;0;0;1;3;False
2022-09-04;63;0;1;23;3;False
2022-09-11;63;0;0;3;3;False
2022-09-18;62;0;0;18;3;False
2022-09-25;58;0;0;42;3;False
2022-10-02;54;0;0;18;3;False
2022-10-09;51;0;0;38;3;False
2022-10-16;57;0;0;11;2;False
2022-10-23;58;0;5;3;2;False
2022-10-30;51;0;0;1;2;False
2022-11-06;50;0;1;2;2;False
2022-11-13;48;0;1;1;2;False
2022-11-20;45;0;1;1;3;False
2022-11-27;44;0;0;0;2;False
2022-12-04;45;0;1;1;2;False
2022-12-11;47;0;1;0;2;False
2022-12-18;44;0;3;0;2;False
2022-12-25;45;0;0;1;3;False
2023-01-01;60;0;1;0;3;False
2023-01-08;54;0;1;0;3;False
2023-01-15;52;0;0;0;3;False
2023-01-22;53;0;0;1;3;False
2023-01-29;49;0;0;0;3;False
