date;Hillsborough disaster;North Dakota;Equal pay;James Cameron;air travel;isPartial
2022-01-02;100;2;1;3;12;False
2022-01-09;26;1;2;2;13;False
2022-01-16;10;1;1;2;10;False
2022-01-23;7;2;2;3;11;False
2022-01-30;5;1;1;2;12;False
2022-02-06;4;1;2;2;12;False
2022-02-13;2;1;1;2;12;False
2022-02-20;3;1;2;3;13;False
2022-02-27;3;1;2;2;11;False
2022-03-06;3;1;3;3;12;False
2022-03-13;5;1;2;2;12;False
2022-03-20;9;1;2;2;11;False
2022-03-27;2;1;2;3;12;False
2022-04-03;3;2;1;4;11;False
2022-04-10;18;2;2;2;9;False
2022-04-17;6;1;1;3;10;False
2022-04-24;3;1;2;4;11;False
2022-05-01;3;1;2;3;11;False
2022-05-08;3;4;2;5;12;False
2022-05-15;4;1;2;3;12;False
2022-05-22;4;1;2;2;11;False
2022-05-29;6;1;2;2;12;False
2022-06-05;2;1;3;3;13;False
2022-06-12;2;1;2;3;12;False
2022-06-19;2;1;2;3;10;False
2022-06-26;1;1;2;3;11;False
2022-07-03;2;2;2;5;12;False
2022-07-10;2;1;1;3;12;False
2022-07-17;2;1;1;2;12;False
2022-07-24;2;1;1;11;12;False
2022-07-31;3;1;2;3;10;False
2022-08-07;1;1;1;2;10;False
2022-08-14;1;2;1;3;10;False
2022-08-21;1;1;1;2;9;False
2022-08-28;2;1;1;3;9;False
2022-09-04;2;1;1;3;10;False
2022-09-11;3;1;2;3;9;False
2022-09-18;2;1;1;4;9;False
2022-09-25;2;1;2;3;9;False
2022-10-02;4;1;2;3;8;False
2022-10-09;1;1;1;3;8;False
2022-10-16;3;2;1;2;7;False
2022-10-23;2;1;1;2;7;False
2022-10-30;4;1;2;3;7;False
2022-11-06;2;4;2;3;8;False
2022-11-13;1;1;2;2;6;False
2022-11-20;1;1;2;4;8;False
2022-11-27;1;2;1;4;8;False
2022-12-04;2;1;2;11;7;False
2022-12-11;1;1;2;12;7;False
2022-12-18;2;2;1;17;6;False
2022-12-25;2;2;1;15;9;False
2023-01-01;3;1;1;11;10;False
2023-01-08;2;1;2;9;9;False
2023-01-15;1;1;2;6;9;False
2023-01-22;1;1;2;6;8;False
2023-01-29;7;1;2;5;9;False
