date;backstage podcast;Mabel;Besiktas;Languages;air travel;isPartial
2022-01-02;0;18;7;74;24;False
2022-01-09;0;18;5;80;26;False
2022-01-16;0;17;4;75;21;False
2022-01-23;0;17;2;87;23;False
2022-01-30;0;19;3;85;26;False
2022-02-06;0;18;5;86;26;False
2022-02-13;0;17;6;75;26;False
2022-02-20;0;18;2;89;26;False
2022-02-27;0;16;3;78;23;False
2022-03-06;0;51;5;76;24;False
2022-03-13;0;22;7;81;24;False
2022-03-20;0;17;3;79;24;False
2022-03-27;0;15;3;75;25;False
2022-04-03;0;28;5;70;23;False
2022-04-10;0;15;2;68;20;False
2022-04-17;0;15;3;71;22;False
2022-04-24;0;14;4;75;23;False
2022-05-01;0;15;6;78;23;False
2022-05-08;0;13;5;82;24;False
2022-05-15;0;16;3;75;25;False
2022-05-22;0;19;2;77;24;False
2022-05-29;0;69;1;65;24;False
2022-06-05;0;32;2;83;27;False
2022-06-12;0;26;2;76;23;False
2022-06-19;0;21;2;78;22;False
2022-06-26;0;21;3;70;23;False
2022-07-03;0;22;4;78;25;False
2022-07-10;0;47;4;80;26;False
2022-07-17;0;47;8;71;24;False
2022-07-24;0;21;5;70;24;False
2022-07-31;0;21;4;68;22;False
2022-08-07;0;13;3;71;21;False
2022-08-14;0;15;7;100;21;False
2022-08-21;0;16;15;97;18;False
2022-08-28;0;15;21;72;20;False
2022-09-04;0;14;19;78;21;False
2022-09-11;0;16;12;88;19;False
2022-09-18;0;14;4;83;18;False
2022-09-25;0;12;4;88;18;False
2022-10-02;0;14;8;83;18;False
2022-10-09;0;13;4;77;17;False
2022-10-16;0;12;6;76;15;False
2022-10-23;0;14;8;75;14;False
2022-10-30;0;11;13;78;14;False
2022-11-06;0;15;4;77;16;False
2022-11-13;0;13;5;76;13;False
2022-11-20;0;11;2;77;17;False
2022-11-27;0;11;4;81;16;False
2022-12-04;0;10;2;78;14;False
2022-12-11;0;12;3;74;14;False
2022-12-18;0;11;19;73;13;False
2022-12-25;0;13;10;70;18;False
2023-01-01;0;15;6;78;21;False
2023-01-08;0;16;8;82;19;False
2023-01-15;0;13;10;76;18;False
2023-01-22;0;12;13;82;17;False
2023-01-29;0;11;9;88;18;False
