date;Automotive emissions;Hotels;Broadband;Voluntary sector;air travel;isPartial
2023-01-01;0;86;14;0;1;False
2023-01-02;0;87;17;0;1;False
2023-01-03;0;96;22;0;1;False
2023-01-04;0;92;21;0;1;False
2023-01-05;0;80;20;0;1;False
2023-01-06;0;80;20;0;1;False
2023-01-07;0;79;18;0;1;False
2023-01-08;0;95;17;0;1;False
2023-01-09;0;84;20;0;1;False
2023-01-10;0;89;27;0;1;False
2023-01-11;0;82;25;0;1;False
2023-01-12;0;85;21;0;1;False
2023-01-13;0;75;20;0;1;False
2023-01-14;0;88;18;0;1;False
2023-01-15;0;95;16;0;1;False
2023-01-16;0;84;24;0;1;False
2023-01-17;0;84;20;0;1;False
2023-01-18;0;67;23;0;1;False
2023-01-19;0;80;22;0;1;False
2023-01-20;0;76;21;0;1;False
2023-01-21;0;86;21;0;1;False
2023-01-22;0;96;19;0;1;False
2023-01-23;0;84;21;0;1;False
2023-01-24;0;83;24;0;1;False
2023-01-25;0;84;22;0;1;False
2023-01-26;0;79;22;0;1;False
2023-01-27;0;71;20;0;1;False
2023-01-28;0;75;18;0;1;False
2023-01-29;0;90;17;0;1;False
2023-01-30;0;86;20;0;1;False
2023-01-31;0;100;23;0;1;False
