date;Mobile games;Emerging markets;Prince Louis;Harry Potter and the Cursed Child;air travel;isPartial
2022-01-02;8;5;2;14;16;False
2022-01-09;10;5;1;9;19;False
2022-01-16;9;4;1;7;14;False
2022-01-23;8;4;5;8;15;False
2022-01-30;8;5;2;7;17;False
2022-02-06;9;4;1;6;18;False
2022-02-13;10;4;5;6;18;False
2022-02-20;9;4;3;7;18;False
2022-02-27;8;6;2;7;16;False
2022-03-06;9;5;2;6;17;False
2022-03-13;9;5;1;5;16;False
2022-03-20;8;5;1;5;16;False
2022-03-27;8;5;3;5;17;False
2022-04-03;9;3;2;6;16;False
2022-04-10;10;3;3;7;13;False
2022-04-17;8;3;18;6;15;False
2022-04-24;8;4;5;6;15;False
2022-05-01;9;3;3;5;16;False
2022-05-08;8;4;2;4;16;False
2022-05-15;10;4;2;5;17;False
2022-05-22;9;4;2;5;16;False
2022-05-29;8;3;47;4;16;False
2022-06-05;8;3;100;4;18;False
2022-06-12;9;3;9;5;16;False
2022-06-19;9;3;4;4;15;False
2022-06-26;9;3;3;4;16;False
2022-07-03;9;3;2;4;17;False
2022-07-10;9;3;4;4;17;False
2022-07-17;10;3;2;4;17;False
2022-07-24;11;2;3;4;16;False
2022-07-31;10;3;3;4;15;False
2022-08-07;11;3;2;4;14;False
2022-08-14;9;3;2;5;14;False
2022-08-21;9;2;2;4;12;False
2022-08-28;11;3;2;5;13;False
2022-09-04;8;3;18;5;15;False
2022-09-11;9;4;16;5;13;False
2022-09-18;8;3;71;4;12;False
2022-09-25;10;4;4;5;12;False
2022-10-02;8;3;3;4;12;False
2022-10-09;8;3;2;6;12;False
2022-10-16;8;3;2;4;10;False
2022-10-23;9;5;2;4;10;False
2022-10-30;8;4;1;4;10;False
2022-11-06;7;4;3;5;11;False
2022-11-13;9;4;2;7;9;False
2022-11-20;9;3;2;7;11;False
2022-11-27;7;4;2;5;11;False
2022-12-04;7;3;2;4;9;False
2022-12-11;10;3;4;6;10;False
2022-12-18;11;2;4;4;9;False
2022-12-25;12;2;10;5;12;False
2023-01-01;10;4;3;6;14;False
2023-01-08;9;4;3;5;13;False
2023-01-15;8;4;2;5;13;False
2023-01-22;8;4;1;5;12;False
2023-01-29;9;5;2;5;13;False
