date;Pets;Conservatives;Grammy awards 2023;BuzzFeed;air travel;isPartial
2022-01-02;96;1;0;6;3;False
2022-01-09;87;2;0;6;4;False
2022-01-16;72;2;0;5;3;False
2022-01-23;84;1;0;6;3;False
2022-01-30;87;1;0;6;3;False
2022-02-06;73;1;0;6;3;False
2022-02-13;76;1;0;6;3;False
2022-02-20;79;1;0;6;4;False
2022-02-27;74;1;0;6;3;False
2022-03-06;79;1;0;6;3;False
2022-03-13;79;1;0;6;3;False
2022-03-20;75;1;0;6;3;False
2022-03-27;79;1;0;6;3;False
2022-04-03;76;1;0;6;3;False
2022-04-10;86;2;0;6;3;False
2022-04-17;77;2;0;6;3;False
2022-04-24;69;2;0;6;3;False
2022-05-01;79;4;0;6;3;False
2022-05-08;73;2;0;6;3;False
2022-05-15;76;1;0;5;3;False
2022-05-22;77;2;0;5;3;False
2022-05-29;87;1;0;6;3;False
2022-06-05;82;2;0;6;4;False
2022-06-12;84;1;0;6;3;False
2022-06-19;77;1;0;5;3;False
2022-06-26;82;1;0;6;3;False
2022-07-03;84;3;0;6;3;False
2022-07-10;86;3;0;5;3;False
2022-07-17;88;3;0;5;3;False
2022-07-24;91;1;0;5;3;False
2022-07-31;95;1;0;5;3;False
2022-08-07;91;1;0;5;3;False
2022-08-14;80;1;0;5;3;False
2022-08-21;94;1;0;5;2;False
2022-08-28;100;1;0;5;3;False
2022-09-04;88;2;0;4;3;False
2022-09-11;86;1;0;5;2;False
2022-09-18;90;1;0;4;2;False
2022-09-25;87;2;0;5;2;False
2022-10-02;86;2;0;5;2;False
2022-10-09;87;2;0;4;2;False
2022-10-16;75;3;0;5;2;False
2022-10-23;85;2;0;4;2;False
2022-10-30;81;1;0;4;2;False
2022-11-06;90;1;0;4;2;False
2022-11-13;89;1;0;4;2;False
2022-11-20;84;1;0;4;2;False
2022-11-27;81;1;0;4;2;False
2022-12-04;78;1;0;4;2;False
2022-12-11;79;1;0;4;2;False
2022-12-18;100;1;0;5;2;False
2022-12-25;91;1;0;5;2;False
2023-01-01;84;1;0;4;3;False
2023-01-08;76;1;0;4;3;False
2023-01-15;90;1;0;4;2;False
2023-01-22;78;1;0;5;2;False
2023-01-29;78;1;0;5;2;False
