date;belfast;Katharine Birbalsingh;Ketanji Brown Jackson;Unemployment;air travel;isPartial
2022-01-02;77;0;0;2;2;False
2022-01-09;75;0;0;2;2;False
2022-01-16;87;0;0;2;2;False
2022-01-23;94;0;0;2;2;False
2022-01-30;96;0;0;2;2;False
2022-02-06;86;0;0;2;2;False
2022-02-13;100;0;0;2;2;False
2022-02-20;89;0;1;2;2;False
2022-02-27;76;0;0;2;2;False
2022-03-06;77;0;0;2;2;False
2022-03-13;81;0;0;2;2;False
2022-03-20;83;0;3;2;2;False
2022-03-27;83;0;1;2;2;False
2022-04-03;83;0;2;2;2;False
2022-04-10;82;0;0;2;1;False
2022-04-17;65;0;0;2;2;False
2022-04-24;82;0;0;2;2;False
2022-05-01;90;0;0;2;2;False
2022-05-08;83;0;0;2;2;False
2022-05-15;88;0;0;2;2;False
2022-05-22;89;1;0;2;2;False
2022-05-29;92;0;0;2;2;False
2022-06-05;87;0;0;2;2;False
2022-06-12;92;0;0;2;2;False
2022-06-19;87;0;0;1;2;False
2022-06-26;88;0;0;1;2;False
2022-07-03;80;0;0;1;2;False
2022-07-10;85;0;0;1;2;False
2022-07-17;81;0;0;1;2;False
2022-07-24;90;0;0;1;2;False
2022-07-31;83;0;0;1;2;False
2022-08-07;90;0;0;1;2;False
2022-08-14;83;0;0;1;2;False
2022-08-21;83;0;0;1;1;False
2022-08-28;87;0;0;1;1;False
2022-09-04;86;0;0;1;2;False
2022-09-11;96;0;0;1;1;False
2022-09-18;83;0;0;2;1;False
2022-09-25;79;0;0;2;1;False
2022-10-02;76;0;0;2;1;False
2022-10-09;79;0;0;2;1;False
2022-10-16;78;0;0;2;1;False
2022-10-23;82;0;0;1;1;False
2022-10-30;80;0;0;2;1;False
2022-11-06;80;0;0;2;1;False
2022-11-13;73;0;0;2;1;False
2022-11-20;70;0;0;2;1;False
2022-11-27;75;0;0;2;1;False
2022-12-04;77;0;0;2;1;False
2022-12-11;79;0;0;2;1;False
2022-12-18;78;0;0;1;1;False
2022-12-25;76;0;0;1;1;False
2023-01-01;81;1;0;1;2;False
2023-01-08;74;0;0;2;1;False
2023-01-15;84;0;0;2;1;False
2023-01-22;81;0;0;2;1;False
2023-01-29;91;0;0;2;1;False
