date;Infectious diseases;Frank Field;Kanye West;Blackburn;air travel;isPartial
2022-01-02;0;0;12;63;5;False
2022-01-09;1;0;16;60;6;False
2022-01-16;0;0;15;64;4;False
2022-01-23;1;0;15;69;5;False
2022-01-30;1;0;15;71;5;False
2022-02-06;1;0;17;60;5;False
2022-02-13;1;0;59;64;5;False
2022-02-20;1;0;34;61;5;False
2022-02-27;1;0;33;53;5;False
2022-03-06;1;0;20;58;5;False
2022-03-13;1;0;26;58;5;False
2022-03-20;1;0;15;54;5;False
2022-03-27;1;0;11;50;5;False
2022-04-03;1;0;11;54;5;False
2022-04-10;1;0;11;56;4;False
2022-04-17;0;0;9;51;4;False
2022-04-24;1;0;8;59;5;False
2022-05-01;1;0;10;57;5;False
2022-05-08;1;0;8;52;5;False
2022-05-15;1;0;9;50;5;False
2022-05-22;0;0;11;50;5;False
2022-05-29;0;0;9;55;5;False
2022-06-05;1;0;8;56;5;False
2022-06-12;1;0;8;58;5;False
2022-06-19;0;0;7;55;4;False
2022-06-26;1;0;7;55;5;False
2022-07-03;0;0;7;55;5;False
2022-07-10;0;0;8;62;5;False
2022-07-17;1;0;7;58;5;False
2022-07-24;0;0;6;67;5;False
2022-07-31;0;0;7;65;4;False
2022-08-07;0;0;10;68;4;False
2022-08-14;0;0;7;69;4;False
2022-08-21;0;0;7;66;4;False
2022-08-28;0;0;11;75;4;False
2022-09-04;1;0;12;54;4;False
2022-09-11;0;0;8;57;4;False
2022-09-18;1;0;7;52;4;False
2022-09-25;1;0;9;52;4;False
2022-10-02;1;0;22;53;4;False
2022-10-09;1;0;29;51;3;False
2022-10-16;1;0;23;64;3;False
2022-10-23;1;0;100;59;3;False
2022-10-30;1;0;26;57;3;False
2022-11-06;1;0;14;64;3;False
2022-11-13;1;0;11;56;3;False
2022-11-20;1;0;13;42;3;False
2022-11-27;1;0;44;45;3;False
2022-12-04;0;0;28;53;3;False
2022-12-11;1;0;14;58;3;False
2022-12-18;0;0;12;66;3;False
2022-12-25;0;0;31;69;4;False
2023-01-01;0;0;22;60;4;False
2023-01-08;1;0;17;60;4;False
2023-01-15;1;0;14;60;4;False
2023-01-22;0;0;11;58;3;False
2023-01-29;1;0;9;70;4;False
