date;Socialism;Investing;Olympic Games;Local elections;air travel;isPartial
2022-01-02;0;6;1;0;3;False
2022-01-09;0;5;1;1;3;False
2022-01-16;0;5;1;1;2;False
2022-01-23;0;5;1;1;3;False
2022-01-30;0;5;3;1;3;False
2022-02-06;0;5;5;1;3;False
2022-02-13;0;4;3;1;3;False
2022-02-20;0;4;2;1;3;False
2022-02-27;0;4;1;1;3;False
2022-03-06;0;5;1;1;3;False
2022-03-13;0;4;1;1;3;False
2022-03-20;0;4;1;1;3;False
2022-03-27;0;5;1;2;3;False
2022-04-03;1;5;1;4;3;False
2022-04-10;1;4;1;5;2;False
2022-04-17;1;4;1;6;3;False
2022-04-24;1;4;1;8;3;False
2022-05-01;2;5;1;100;3;False
2022-05-08;1;5;1;6;3;False
2022-05-15;1;5;1;1;3;False
2022-05-22;2;4;1;1;3;False
2022-05-29;1;4;1;0;3;False
2022-06-05;1;4;1;0;3;False
2022-06-12;1;4;1;0;3;False
2022-06-19;1;4;1;1;3;False
2022-06-26;1;4;1;0;3;False
2022-07-03;1;4;2;0;3;False
2022-07-10;1;4;1;0;3;False
2022-07-17;1;4;1;0;3;False
2022-07-24;1;4;2;0;3;False
2022-07-31;1;4;2;0;3;False
2022-08-07;1;4;2;0;2;False
2022-08-14;1;4;1;0;2;False
2022-08-21;1;5;1;0;2;False
2022-08-28;1;4;1;0;2;False
2022-09-04;2;4;1;0;3;False
2022-09-11;2;4;1;0;2;False
2022-09-18;2;4;1;0;2;False
2022-09-25;2;5;1;0;2;False
2022-10-02;1;4;1;0;2;False
2022-10-09;1;4;1;0;2;False
2022-10-16;2;4;1;0;2;False
2022-10-23;1;4;1;0;2;False
2022-10-30;1;4;1;0;2;False
2022-11-06;2;4;1;0;2;False
2022-11-13;1;4;1;0;2;False
2022-11-20;1;4;1;0;2;False
2022-11-27;1;4;1;0;2;False
2022-12-04;1;4;1;0;2;False
2022-12-11;1;4;1;0;2;False
2022-12-18;1;3;1;0;2;False
2022-12-25;1;3;1;0;2;False
2023-01-01;1;4;1;0;2;False
2023-01-08;1;4;1;0;2;False
2023-01-15;1;4;1;1;2;False
2023-01-22;1;4;1;1;2;False
2023-01-29;1;5;1;1;2;False
