date;indonesia;Fishing industry;Hamilton;Michael van Gerwen;air travel;isPartial
2022-01-02;9;0;73;2;4;False
2022-01-09;9;0;66;0;5;False
2022-01-16;9;0;59;0;4;False
2022-01-23;10;0;64;0;4;False
2022-01-30;8;0;67;1;5;False
2022-02-06;10;0;66;0;5;False
2022-02-13;9;0;55;0;5;False
2022-02-20;10;0;54;0;5;False
2022-02-27;10;0;54;1;4;False
2022-03-06;9;0;61;0;4;False
2022-03-13;10;0;80;0;4;False
2022-03-20;12;0;78;0;4;False
2022-03-27;10;0;70;0;5;False
2022-04-03;10;0;64;0;4;False
2022-04-10;10;0;56;0;4;False
2022-04-17;10;0;65;0;4;False
2022-04-24;11;0;59;0;4;False
2022-05-01;10;0;63;0;4;False
2022-05-08;10;0;63;0;4;False
2022-05-15;10;0;53;0;5;False
2022-05-22;10;0;61;0;4;False
2022-05-29;12;0;74;0;4;False
2022-06-05;11;0;62;0;5;False
2022-06-12;11;0;56;0;4;False
2022-06-19;9;0;54;0;4;False
2022-06-26;10;0;100;0;4;False
2022-07-03;11;0;78;0;4;False
2022-07-10;10;0;64;0;5;False
2022-07-17;11;0;58;1;4;False
2022-07-24;10;0;68;1;4;False
2022-07-31;10;0;65;0;4;False
2022-08-07;10;0;55;0;4;False
2022-08-14;10;0;51;0;4;False
2022-08-21;10;0;56;0;3;False
2022-08-28;8;0;66;0;4;False
2022-09-04;9;0;65;0;4;False
2022-09-11;10;0;66;0;3;False
2022-09-18;9;0;46;0;3;False
2022-09-25;9;0;52;0;3;False
2022-10-02;22;0;62;0;3;False
2022-10-09;10;0;55;1;3;False
2022-10-16;9;0;52;0;3;False
2022-10-23;10;0;57;0;3;False
2022-10-30;11;0;54;0;3;False
2022-11-06;10;0;59;0;3;False
2022-11-13;12;0;59;1;2;False
2022-11-20;15;0;52;0;3;False
2022-11-27;11;0;46;1;3;False
2022-12-04;15;0;45;0;3;False
2022-12-11;11;0;49;0;3;False
2022-12-18;10;0;52;1;2;False
2022-12-25;11;0;55;2;3;False
2023-01-01;11;0;52;8;4;False
2023-01-08;12;0;52;1;3;False
2023-01-15;11;0;54;1;3;False
2023-01-22;11;0;59;0;3;False
2023-01-29;10;0;51;1;3;False
