date;Pubs;Ofgem;US political lobbying;x factor;air travel;isPartial
2022-01-02;67;2;0;8;4;False
2022-01-09;70;2;0;7;4;False
2022-01-16;71;2;0;7;3;False
2022-01-23;74;2;0;9;4;False
2022-01-30;82;6;0;7;4;False
2022-02-06;74;3;0;7;4;False
2022-02-13;76;2;0;5;4;False
2022-02-20;85;2;0;8;4;False
2022-02-27;73;2;0;6;4;False
2022-03-06;75;3;0;5;4;False
2022-03-13;85;2;0;6;4;False
2022-03-20;88;2;0;5;4;False
2022-03-27;74;3;0;6;4;False
2022-04-03;75;2;0;6;4;False
2022-04-10;89;2;0;6;3;False
2022-04-17;88;2;0;7;3;False
2022-04-24;74;2;0;6;4;False
2022-05-01;83;2;0;7;4;False
2022-05-08;88;2;0;6;4;False
2022-05-15;76;7;0;6;4;False
2022-05-22;80;6;0;5;4;False
2022-05-29;100;2;0;8;4;False
2022-06-05;72;2;0;6;4;False
2022-06-12;80;2;0;6;4;False
2022-06-19;77;2;0;8;3;False
2022-06-26;76;2;0;6;4;False
2022-07-03;76;2;0;6;4;False
2022-07-10;84;3;0;6;4;False
2022-07-17;77;2;0;5;4;False
2022-07-24;83;2;0;6;4;False
2022-07-31;88;3;0;6;3;False
2022-08-07;94;5;0;6;3;False
2022-08-14;82;4;0;8;3;False
2022-08-21;88;12;0;6;3;False
2022-08-28;85;5;0;8;3;False
2022-09-04;79;4;0;5;3;False
2022-09-11;84;3;0;6;3;False
2022-09-18;87;2;0;6;3;False
2022-09-25;75;3;0;6;3;False
2022-10-02;70;3;0;6;3;False
2022-10-09;71;2;0;6;3;False
2022-10-16;72;2;0;6;2;False
2022-10-23;69;2;0;6;2;False
2022-10-30;63;2;0;6;2;False
2022-11-06;70;2;0;8;2;False
2022-11-13;67;2;0;6;2;False
2022-11-20;62;3;0;6;3;False
2022-11-27;64;2;0;7;3;False
2022-12-04;64;2;0;6;2;False
2022-12-11;54;2;0;7;2;False
2022-12-18;60;2;0;7;2;False
2022-12-25;83;1;0;6;3;False
2023-01-01;62;1;0;6;3;False
2023-01-08;59;2;0;5;3;False
2023-01-15;64;2;0;6;3;False
2023-01-22;67;2;0;7;3;False
2023-01-29;69;3;0;7;3;False
