date;iraq;pope benedict;Sarah Hanson-Young;Lake District holidays;air travel;isPartial
2023-01-01;10;97;2;1;9;False
2023-01-02;12;95;0;3;10;False
2023-01-03;15;41;0;4;7;False
2023-01-04;14;50;0;2;10;False
2023-01-05;14;100;0;4;8;False
2023-01-06;27;26;0;2;8;False
2023-01-07;15;10;0;4;6;False
2023-01-08;16;7;1;6;10;False
2023-01-09;35;6;0;2;6;False
2023-01-10;20;6;0;1;9;False
2023-01-11;17;3;0;0;10;False
2023-01-12;28;2;0;3;8;False
2023-01-13;18;2;0;2;7;False
2023-01-14;15;2;0;5;6;False
2023-01-15;16;2;0;5;8;False
2023-01-16;36;2;0;2;8;False
2023-01-17;17;1;0;2;6;False
2023-01-18;22;2;0;3;9;False
2023-01-19;65;1;1;1;8;False
2023-01-20;22;1;0;3;7;False
2023-01-21;17;1;0;2;7;False
2023-01-22;13;1;0;4;8;False
2023-01-23;15;1;1;2;8;False
2023-01-24;17;3;1;2;6;False
2023-01-25;19;4;0;2;9;False
2023-01-26;14;1;1;2;8;False
2023-01-27;16;2;0;1;5;False
2023-01-28;14;1;0;1;7;False
2023-01-29;16;1;0;4;7;False
2023-01-30;18;1;0;3;11;False
2023-01-31;14;1;0;3;10;False
