date;Restaurants;Leo Varadkar;Investigative journalism;philippines;air travel;isPartial
2022-01-02;79;0;0;0;2;False
2022-01-09;84;0;0;7;2;False
2022-01-16;88;0;0;0;1;False
2022-01-23;91;0;0;0;2;False
2022-01-30;100;0;0;7;2;False
2022-02-06;99;0;0;0;2;False
2022-02-13;98;0;0;6;2;False
2022-02-20;96;0;0;0;2;False
2022-02-27;86;0;0;0;2;False
2022-03-06;85;0;0;0;2;False
2022-03-13;86;0;0;7;2;False
2022-03-20;100;0;0;7;2;False
2022-03-27;89;0;0;7;2;False
2022-04-03;83;0;0;0;2;False
2022-04-10;92;0;0;0;1;False
2022-04-17;85;0;0;0;2;False
2022-04-24;87;0;0;7;2;False
2022-05-01;99;0;0;8;2;False
2022-05-08;78;0;0;12;2;False
2022-05-15;81;0;0;0;2;False
2022-05-22;80;0;0;7;2;False
2022-05-29;83;0;0;0;2;False
2022-06-05;84;0;0;0;2;False
2022-06-12;84;0;0;7;2;False
2022-06-19;82;0;0;0;2;False
2022-06-26;90;0;0;0;2;False
2022-07-03;78;0;0;7;2;False
2022-07-10;86;0;0;7;2;False
2022-07-17;89;0;0;7;2;False
2022-07-24;92;0;0;8;2;False
2022-07-31;99;0;0;7;2;False
2022-08-07;92;0;0;7;2;False
2022-08-14;85;0;0;0;2;False
2022-08-21;96;0;0;0;1;False
2022-08-28;93;0;0;7;1;False
2022-09-04;83;0;0;7;2;False
2022-09-11;91;0;0;0;1;False
2022-09-18;88;0;0;7;1;False
2022-09-25;79;0;0;7;1;False
2022-10-02;79;0;0;0;1;False
2022-10-09;82;0;0;0;1;False
2022-10-16;79;0;0;7;1;False
2022-10-23;73;0;0;7;1;False
2022-10-30;75;0;0;0;1;False
2022-11-06;79;0;0;0;1;False
2022-11-13;74;0;0;0;1;False
2022-11-20;65;0;0;0;1;False
2022-11-27;70;0;0;7;1;False
2022-12-04;69;1;0;0;1;False
2022-12-11;62;1;0;0;1;False
2022-12-18;60;0;0;7;1;False
2022-12-25;80;0;0;7;1;False
2023-01-01;76;0;0;0;1;False
2023-01-08;72;0;0;0;1;False
2023-01-15;77;0;0;0;1;False
2023-01-22;79;0;0;7;1;False
2023-01-29;78;0;0;8;1;False
