date;nadhim zahawi;Gardens;Senegal;Road safety;air travel;isPartial
2023-01-01;1;94;5;1;5;False
2023-01-02;0;94;6;1;6;False
2023-01-03;0;83;9;2;4;False
2023-01-04;0;85;6;1;5;False
2023-01-05;0;82;6;1;4;False
2023-01-06;0;89;4;1;5;False
2023-01-07;1;80;3;0;3;False
2023-01-08;0;91;6;1;5;False
2023-01-09;0;81;4;2;3;False
2023-01-10;0;81;4;2;5;False
2023-01-11;0;82;5;1;6;False
2023-01-12;0;85;5;2;5;False
2023-01-13;0;81;4;2;4;False
2023-01-14;0;83;9;1;3;False
2023-01-15;4;83;5;1;4;False
2023-01-16;9;85;5;2;4;False
2023-01-17;13;78;4;2;3;False
2023-01-18;7;77;10;1;5;False
2023-01-19;6;80;5;1;4;False
2023-01-20;8;86;3;1;4;False
2023-01-21;26;95;6;0;4;False
2023-01-22;21;89;9;1;4;False
2023-01-23;42;91;4;1;4;False
2023-01-24;28;86;3;2;3;False
2023-01-25;20;85;5;2;5;False
2023-01-26;20;83;6;2;4;False
2023-01-27;14;92;6;2;3;False
2023-01-28;5;88;4;1;4;False
2023-01-29;96;91;7;1;4;False
2023-01-30;34;100;4;2;6;False
2023-01-31;7;88;8;2;5;False
