date;Technology;Coral;X-Men: Days of Future Past;Wanda Sykes;air travel;isPartial
2023-01-01;20;100;0;0;4;False
2023-01-02;27;87;0;0;5;False
2023-01-03;39;75;0;0;3;False
2023-01-04;47;77;0;1;5;False
2023-01-05;47;80;0;0;4;False
2023-01-06;42;80;0;0;4;False
2023-01-07;27;94;0;0;3;False
2023-01-08;29;79;1;0;5;False
2023-01-09;48;71;0;0;3;False
2023-01-10;53;75;0;0;4;False
2023-01-11;52;63;1;0;5;False
2023-01-12;54;73;0;0;4;False
2023-01-13;46;76;0;1;3;False
2023-01-14;27;100;0;0;3;False
2023-01-15;29;81;0;0;4;False
2023-01-16;53;62;0;1;4;False
2023-01-17;50;74;0;0;3;False
2023-01-18;51;70;0;0;5;False
2023-01-19;50;63;0;0;4;False
2023-01-20;45;77;0;0;3;False
2023-01-21;28;99;0;0;4;False
2023-01-22;28;80;0;0;4;False
2023-01-23;53;64;0;0;4;False
2023-01-24;55;70;1;0;3;False
2023-01-25;50;74;1;1;4;False
2023-01-26;49;72;0;0;4;False
2023-01-27;42;76;0;0;3;False
2023-01-28;25;94;0;0;4;False
2023-01-29;28;86;0;1;3;False
2023-01-30;52;72;0;0;6;False
2023-01-31;58;73;0;0;5;False
