date;Sydney Opera House;taylor hawkins;Sourdough;taylor swift;air travel;isPartial
2022-01-02;0;0;4;8;2;False
2022-01-09;0;0;4;7;2;False
2022-01-16;0;0;4;7;2;False
2022-01-23;0;0;4;10;2;False
2022-01-30;13;0;4;8;2;False
2022-02-06;4;0;4;8;2;False
2022-02-13;0;0;4;8;2;False
2022-02-20;0;0;4;7;2;False
2022-02-27;0;0;3;7;2;False
2022-03-06;0;0;3;7;2;False
2022-03-13;0;0;3;6;2;False
2022-03-20;0;100;3;6;2;False
2022-03-27;0;44;3;6;2;False
2022-04-03;0;7;3;6;2;False
2022-04-10;0;4;3;7;2;False
2022-04-17;0;3;3;7;2;False
2022-04-24;0;2;3;6;2;False
2022-05-01;0;2;4;9;2;False
2022-05-08;0;1;3;7;2;False
2022-05-15;1;2;3;11;2;False
2022-05-22;0;1;3;7;2;False
2022-05-29;0;1;3;6;2;False
2022-06-05;0;4;3;6;2;False
2022-06-12;0;7;3;7;2;False
2022-06-19;0;2;3;8;2;False
2022-06-26;0;2;3;8;2;False
2022-07-03;0;1;3;7;2;False
2022-07-10;0;1;3;7;2;False
2022-07-17;0;1;3;7;2;False
2022-07-24;0;1;3;7;2;False
2022-07-31;0;1;3;8;2;False
2022-08-07;0;1;3;7;2;False
2022-08-14;0;2;3;7;2;False
2022-08-21;0;2;3;7;2;False
2022-08-28;0;22;3;14;2;False
2022-09-04;1;34;3;8;2;False
2022-09-11;0;2;3;7;2;False
2022-09-18;0;2;3;7;1;False
2022-09-25;0;3;3;7;2;False
2022-10-02;0;1;3;9;1;False
2022-10-09;0;1;3;9;1;False
2022-10-16;0;1;3;43;1;False
2022-10-23;0;1;3;35;1;False
2022-10-30;0;0;3;28;1;False
2022-11-06;0;1;3;21;1;False
2022-11-13;0;0;3;27;1;False
2022-11-20;0;0;3;15;1;False
2022-11-27;0;0;3;13;1;False
2022-12-04;0;1;3;10;1;False
2022-12-11;0;0;3;11;1;False
2022-12-18;0;1;3;10;1;False
2022-12-25;0;1;3;10;1;False
2023-01-01;0;3;4;10;2;False
2023-01-08;0;1;3;10;2;False
2023-01-15;0;0;4;11;2;False
2023-01-22;0;0;4;10;1;False
2023-01-29;0;0;4;11;2;False
