date;Second world war;Northern Territory;Amy Poehler;Kaká;air travel;isPartial
2023-01-01;34;0;18;0;76;False
2023-01-02;30;20;0;0;90;False
2023-01-03;26;0;0;0;59;False
2023-01-04;33;14;0;0;89;False
2023-01-05;44;0;0;0;73;False
2023-01-06;0;0;0;0;73;False
2023-01-07;16;0;0;0;53;False
2023-01-08;56;0;6;11;84;False
2023-01-09;39;0;6;0;50;False
2023-01-10;15;16;7;0;79;False
2023-01-11;19;0;9;0;90;False
2023-01-12;39;12;20;0;75;False
2023-01-13;24;15;7;0;60;False
2023-01-14;39;0;13;0;56;False
2023-01-15;48;7;9;0;66;False
2023-01-16;34;6;0;8;68;False
2023-01-17;22;8;5;0;56;False
2023-01-18;34;0;0;0;80;False
2023-01-19;25;5;8;5;73;False
2023-01-20;31;0;13;0;59;False
2023-01-21;49;0;6;10;63;False
2023-01-22;22;0;5;0;70;False
2023-01-23;22;7;13;0;72;False
2023-01-24;35;9;0;0;55;False
2023-01-25;42;0;6;0;75;False
2023-01-26;0;8;8;0;68;False
2023-01-27;41;0;8;0;47;False
2023-01-28;35;7;0;0;66;False
2023-01-29;36;9;0;7;60;False
2023-01-30;31;0;0;0;100;False
2023-01-31;27;0;0;5;84;False
