date;friends;childline;Michael Rosen;Soho theatre;air travel;isPartial
2023-01-01;100;1;1;1;3;False
2023-01-02;90;0;2;1;3;False
2023-01-03;77;1;0;1;2;False
2023-01-04;75;1;1;1;3;False
2023-01-05;72;0;0;1;2;False
2023-01-06;76;1;1;1;2;False
2023-01-07;84;2;1;1;2;False
2023-01-08;87;1;1;1;3;False
2023-01-09;73;1;1;2;2;False
2023-01-10;71;1;1;1;3;False
2023-01-11;67;1;1;1;3;False
2023-01-12;73;1;1;1;3;False
2023-01-13;70;1;1;1;2;False
2023-01-14;84;1;1;1;2;False
2023-01-15;85;1;0;1;2;False
2023-01-16;70;1;1;1;2;False
2023-01-17;68;1;1;1;2;False
2023-01-18;68;1;1;2;3;False
2023-01-19;69;1;1;1;2;False
2023-01-20;74;1;1;1;2;False
2023-01-21;87;1;1;1;2;False
2023-01-22;81;1;1;1;2;False
2023-01-23;77;1;1;1;2;False
2023-01-24;67;1;1;1;2;False
2023-01-25;69;1;1;1;3;False
2023-01-26;65;1;1;2;2;False
2023-01-27;76;2;1;1;2;False
2023-01-28;81;1;0;1;2;False
2023-01-29;84;1;3;1;2;False
2023-01-30;75;1;2;1;3;False
2023-01-31;75;2;1;1;3;False
