date;DIY;Myanmar coup;Financial Conduct Authority;Louisiana;air travel;isPartial
2022-01-02;79;0;1;4;8;False
2022-01-09;74;0;1;5;9;False
2022-01-16;72;0;1;4;7;False
2022-01-23;84;0;1;4;7;False
2022-01-30;78;0;1;4;8;False
2022-02-06;78;0;1;3;8;False
2022-02-13;77;0;1;4;8;False
2022-02-20;88;0;1;5;9;False
2022-02-27;97;0;1;4;8;False
2022-03-06;79;0;1;4;8;False
2022-03-13;78;0;1;4;8;False
2022-03-20;84;0;1;4;8;False
2022-03-27;81;0;1;5;8;False
2022-04-03;75;0;1;4;8;False
2022-04-10;89;0;1;5;7;False
2022-04-17;84;0;0;4;7;False
2022-04-24;71;0;1;5;7;False
2022-05-01;86;0;1;5;8;False
2022-05-08;96;0;1;5;8;False
2022-05-15;81;0;1;4;8;False
2022-05-22;85;0;1;5;8;False
2022-05-29;89;0;1;5;8;False
2022-06-05;77;0;1;5;9;False
2022-06-12;83;0;1;5;8;False
2022-06-19;80;0;1;6;7;False
2022-06-26;70;0;1;5;8;False
2022-07-03;82;0;1;4;8;False
2022-07-10;87;0;1;5;8;False
2022-07-17;80;0;1;5;8;False
2022-07-24;76;0;1;4;8;False
2022-07-31;73;0;1;4;7;False
2022-08-07;76;0;1;4;7;False
2022-08-14;70;0;0;5;7;False
2022-08-21;75;0;1;5;6;False
2022-08-28;80;0;1;4;7;False
2022-09-04;71;0;1;4;7;False
2022-09-11;78;0;1;4;6;False
2022-09-18;73;0;1;4;6;False
2022-09-25;80;0;1;5;6;False
2022-10-02;78;0;1;4;6;False
2022-10-09;81;0;1;4;6;False
2022-10-16;82;0;1;4;5;False
2022-10-23;100;0;1;4;5;False
2022-10-30;74;0;1;4;5;False
2022-11-06;78;0;1;5;5;False
2022-11-13;82;0;1;4;4;False
2022-11-20;78;0;1;3;6;False
2022-11-27;80;0;1;4;5;False
2022-12-04;77;0;1;4;5;False
2022-12-11;72;0;1;4;5;False
2022-12-18;66;0;1;4;4;False
2022-12-25;70;0;0;5;6;False
2023-01-01;69;0;1;4;7;False
2023-01-08;68;0;1;5;6;False
2023-01-15;69;0;1;4;6;False
2023-01-22;71;0;1;4;6;False
2023-01-29;71;0;1;5;6;False
