date;Cancer research;Sheikh Hasina;France;Maine;air travel;isPartial
2023-01-01;5;0;96;11;3;False
2023-01-02;6;0;99;9;3;False
2023-01-03;5;0;91;9;2;False
2023-01-04;4;0;90;7;3;False
2023-01-05;4;0;86;8;3;False
2023-01-06;4;0;88;11;3;False
2023-01-07;3;0;87;8;2;False
2023-01-08;3;0;95;8;3;False
2023-01-09;5;0;87;9;2;False
2023-01-10;5;0;84;8;3;False
2023-01-11;5;0;86;8;3;False
2023-01-12;5;0;90;6;3;False
2023-01-13;3;0;83;7;2;False
2023-01-14;4;0;88;8;2;False
2023-01-15;4;0;100;10;2;False
2023-01-16;4;0;84;7;2;False
2023-01-17;4;0;83;8;2;False
2023-01-18;4;0;85;8;3;False
2023-01-19;4;0;89;8;3;False
2023-01-20;4;0;86;11;2;False
2023-01-21;3;0;91;9;2;False
2023-01-22;5;0;99;11;3;False
2023-01-23;5;0;91;9;3;False
2023-01-24;4;0;87;8;2;False
2023-01-25;5;0;84;9;3;False
2023-01-26;4;0;78;9;2;False
2023-01-27;4;0;85;9;2;False
2023-01-28;4;0;75;9;2;False
2023-01-29;4;0;93;9;2;False
2023-01-30;5;1;83;11;4;False
2023-01-31;5;0;87;9;3;False
