date;Tourism (Australia);Laura Kuenssberg;The Independent;GCSEs;air travel;isPartial
2022-01-02;1;8;76;28;34;False
2022-01-09;0;31;88;34;37;False
2022-01-16;1;38;85;32;29;False
2022-01-23;1;40;83;33;32;False
2022-01-30;0;46;84;32;36;False
2022-02-06;2;22;81;37;36;False
2022-02-13;1;6;75;25;36;False
2022-02-20;2;22;94;30;37;False
2022-02-27;0;10;100;31;32;False
2022-03-06;1;11;95;27;34;False
2022-03-13;1;11;87;27;34;False
2022-03-20;1;12;82;27;33;False
2022-03-27;0;50;74;26;35;False
2022-04-03;0;24;69;24;32;False
2022-04-10;1;53;66;20;28;False
2022-04-17;0;31;70;29;31;False
2022-04-24;1;29;75;32;32;False
2022-05-01;1;49;83;37;33;False
2022-05-08;1;22;78;44;34;False
2022-05-15;0;11;79;68;35;False
2022-05-22;1;36;70;41;33;False
2022-05-29;0;16;69;20;34;False
2022-06-05;0;10;80;40;38;False
2022-06-12;0;7;76;37;33;False
2022-06-19;0;5;70;32;31;False
2022-06-26;0;7;71;22;33;False
2022-07-03;1;28;78;17;35;False
2022-07-10;0;18;70;17;36;False
2022-07-17;0;9;64;16;34;False
2022-07-24;0;9;65;11;34;False
2022-07-31;0;5;59;14;30;False
2022-08-07;0;3;61;17;29;False
2022-08-14;0;4;52;26;29;False
2022-08-21;0;35;62;100;25;False
2022-08-28;0;34;60;39;28;False
2022-09-04;0;85;86;35;30;False
2022-09-11;0;34;77;29;26;False
2022-09-18;0;26;69;22;25;False
2022-09-25;1;33;83;30;26;False
2022-10-02;0;39;76;27;25;False
2022-10-09;1;27;78;29;24;False
2022-10-16;0;44;87;20;21;False
2022-10-23;0;34;74;19;20;False
2022-10-30;1;30;76;22;20;False
2022-11-06;1;24;74;29;22;False
2022-11-13;0;32;76;24;19;False
2022-11-20;0;28;66;23;23;False
2022-11-27;0;16;71;19;23;False
2022-12-04;0;12;71;21;19;False
2022-12-11;0;14;73;19;20;False
2022-12-18;0;18;62;14;19;False
2022-12-25;1;5;59;14;25;False
2023-01-01;1;7;62;31;29;False
2023-01-08;1;23;72;32;27;False
2023-01-15;1;12;74;34;26;False
2023-01-22;0;15;69;33;24;False
2023-01-29;0;12;74;28;26;False
