date;Celebrity;Shellfish;Algeria;Commodities;air travel;isPartial
2022-01-02;20;0;2;0;1;False
2022-01-09;17;0;3;0;1;False
2022-01-16;16;0;3;0;1;False
2022-01-23;15;0;1;0;1;False
2022-01-30;18;0;1;0;1;False
2022-02-06;16;0;1;0;1;False
2022-02-13;15;0;1;0;1;False
2022-02-20;16;0;1;1;1;False
2022-02-27;14;0;1;0;1;False
2022-03-06;15;0;1;1;1;False
2022-03-13;13;0;1;0;1;False
2022-03-20;14;0;2;0;1;False
2022-03-27;13;0;3;0;1;False
2022-04-03;13;0;1;0;1;False
2022-04-10;14;0;1;0;1;False
2022-04-17;14;0;1;0;1;False
2022-04-24;14;0;1;0;1;False
2022-05-01;14;0;1;0;1;False
2022-05-08;14;0;1;0;1;False
2022-05-15;13;0;1;0;1;False
2022-05-22;15;0;1;0;1;False
2022-05-29;14;0;1;0;1;False
2022-06-05;16;0;2;0;1;False
2022-06-12;14;0;1;0;1;False
2022-06-19;13;0;1;0;1;False
2022-06-26;14;0;1;0;1;False
2022-07-03;15;0;1;0;1;False
2022-07-10;15;0;1;0;1;False
2022-07-17;15;0;1;0;1;False
2022-07-24;16;0;1;0;1;False
2022-07-31;15;0;1;0;1;False
2022-08-07;18;0;1;0;1;False
2022-08-14;15;0;1;0;1;False
2022-08-21;18;0;1;0;1;False
2022-08-28;21;0;1;0;1;False
2022-09-04;21;0;1;0;1;False
2022-09-11;21;0;1;0;1;False
2022-09-18;20;0;1;0;1;False
2022-09-25;18;0;1;0;1;False
2022-10-02;17;0;1;0;1;False
2022-10-09;18;0;1;0;1;False
2022-10-16;16;0;1;0;1;False
2022-10-23;25;0;1;0;1;False
2022-10-30;43;0;1;0;1;False
2022-11-06;100;0;1;0;1;False
2022-11-13;57;0;2;0;1;False
2022-11-20;68;0;1;0;1;False
2022-11-27;55;0;1;0;1;False
2022-12-04;14;0;1;0;1;False
2022-12-11;13;0;1;0;1;False
2022-12-18;15;0;1;0;1;False
2022-12-25;20;0;1;0;1;False
2023-01-01;16;0;1;0;1;False
2023-01-08;14;0;1;0;1;False
2023-01-15;13;0;1;0;1;False
2023-01-22;15;0;1;0;1;False
2023-01-29;15;0;1;0;1;False
