date;Nauru;Vietnam war;BBC Symphony Orchestra;Child benefits;air travel;isPartial
2022-01-02;6;52;2;26;71;False
2022-01-09;7;41;3;35;81;False
2022-01-16;6;35;3;34;60;False
2022-01-23;4;51;0;38;66;False
2022-01-30;8;43;1;37;76;False
2022-02-06;8;38;3;32;75;False
2022-02-13;6;44;0;22;76;False
2022-02-20;6;63;1;31;77;False
2022-02-27;7;63;2;38;68;False
2022-03-06;100;61;3;33;71;False
2022-03-13;7;57;2;29;71;False
2022-03-20;7;49;2;30;69;False
2022-03-27;8;46;3;29;73;False
2022-04-03;6;47;2;38;68;False
2022-04-10;10;41;2;25;58;False
2022-04-17;4;44;2;25;64;False
2022-04-24;4;49;1;30;66;False
2022-05-01;5;49;5;31;68;False
2022-05-08;11;44;3;30;70;False
2022-05-15;7;68;1;29;73;False
2022-05-22;5;39;3;50;69;False
2022-05-29;5;41;2;30;71;False
2022-06-05;8;45;4;31;79;False
2022-06-12;6;54;2;28;71;False
2022-06-19;7;43;1;30;64;False
2022-06-26;16;41;2;33;69;False
2022-07-03;4;36;0;31;72;False
2022-07-10;7;41;1;34;75;False
2022-07-17;3;39;1;31;71;False
2022-07-24;15;42;1;28;71;False
2022-07-31;21;39;2;29;63;False
2022-08-07;9;34;3;28;62;False
2022-08-14;12;34;2;29;61;False
2022-08-21;9;32;3;37;53;False
2022-08-28;6;34;2;31;58;False
2022-09-04;9;44;2;43;63;False
2022-09-11;9;44;2;29;55;False
2022-09-18;37;48;2;33;53;False
2022-09-25;6;48;1;34;54;False
2022-10-02;6;48;1;37;51;False
2022-10-09;6;47;2;32;50;False
2022-10-16;4;42;3;33;45;False
2022-10-23;5;37;0;28;42;False
2022-10-30;7;39;1;27;42;False
2022-11-06;7;46;1;29;47;False
2022-11-13;6;43;2;43;39;False
2022-11-20;7;35;3;28;49;False
2022-11-27;5;42;3;29;48;False
2022-12-04;3;40;2;29;41;False
2022-12-11;8;39;1;29;42;False
2022-12-18;9;38;2;22;39;False
2022-12-25;7;46;2;24;52;False
2023-01-01;8;44;2;29;60;False
2023-01-08;6;44;0;36;56;False
2023-01-15;7;49;2;38;55;False
2023-01-22;7;55;2;41;50;False
2023-01-29;7;49;2;37;54;False
