date;Pamela Anderson;Steven Moffat;A-levels;Aviva;air travel;isPartial
2023-01-01;7;0;0;29;9;False
2023-01-02;7;0;0;43;10;False
2023-01-03;5;2;0;83;7;False
2023-01-04;4;0;0;89;10;False
2023-01-05;4;1;0;87;8;False
2023-01-06;3;0;0;77;8;False
2023-01-07;5;1;0;44;6;False
2023-01-08;6;0;0;40;9;False
2023-01-09;4;0;0;83;6;False
2023-01-10;10;1;1;88;9;False
2023-01-11;10;1;1;85;10;False
2023-01-12;8;0;0;86;8;False
2023-01-13;8;0;0;78;7;False
2023-01-14;9;2;1;39;6;False
2023-01-15;8;0;0;40;7;False
2023-01-16;3;1;1;93;8;False
2023-01-17;6;0;0;85;6;False
2023-01-18;5;1;0;88;9;False
2023-01-19;5;1;0;78;8;False
2023-01-20;3;2;0;83;7;False
2023-01-21;17;3;0;48;7;False
2023-01-22;13;1;2;38;8;False
2023-01-23;24;1;1;92;8;False
2023-01-24;20;1;1;86;6;False
2023-01-25;9;0;1;85;8;False
2023-01-26;11;1;2;80;8;False
2023-01-27;14;1;0;81;5;False
2023-01-28;15;7;0;40;7;False
2023-01-29;18;1;2;45;7;False
2023-01-30;18;0;1;100;11;False
2023-01-31;98;2;1;99;9;False
