date;Fruit;Dave Eggers;Unilever;Far right;air travel;isPartial
2023-01-01;82;0;1;1;4;False
2023-01-02;81;0;2;2;5;False
2023-01-03;76;0;4;1;3;False
2023-01-04;82;0;5;1;5;False
2023-01-05;77;1;7;2;4;False
2023-01-06;81;0;6;1;4;False
2023-01-07;86;0;3;0;3;False
2023-01-08;95;0;3;2;5;False
2023-01-09;75;0;6;2;3;False
2023-01-10;85;0;7;1;4;False
2023-01-11;78;0;7;2;5;False
2023-01-12;80;0;7;1;4;False
2023-01-13;78;1;7;1;3;False
2023-01-14;88;0;4;3;3;False
2023-01-15;97;0;5;1;4;False
2023-01-16;85;0;8;1;4;False
2023-01-17;79;0;8;1;3;False
2023-01-18;83;0;7;0;4;False
2023-01-19;83;0;5;0;4;False
2023-01-20;81;0;5;1;3;False
2023-01-21;91;0;2;1;3;False
2023-01-22;92;0;3;1;4;False
2023-01-23;82;0;5;2;4;False
2023-01-24;87;0;6;2;3;False
2023-01-25;80;0;5;1;4;False
2023-01-26;83;0;6;1;4;False
2023-01-27;85;0;5;1;3;False
2023-01-28;92;0;3;1;4;False
2023-01-29;100;0;2;1;3;False
2023-01-30;88;0;8;1;5;False
2023-01-31;83;1;8;1;5;False
