date;kenya;McDonald's;Last Tango in Paris;Yasser Arafat;air travel;isPartial
2022-01-02;10;80;0;0;3;False
2022-01-09;11;66;0;0;3;False
2022-01-16;10;62;0;0;3;False
2022-01-23;11;85;0;0;3;False
2022-01-30;11;83;0;0;3;False
2022-02-06;11;75;0;0;3;False
2022-02-13;10;70;0;0;3;False
2022-02-20;11;70;0;0;3;False
2022-02-27;11;64;0;0;3;False
2022-03-06;11;67;0;0;3;False
2022-03-13;10;61;0;0;3;False
2022-03-20;10;70;0;0;3;False
2022-03-27;10;60;1;0;3;False
2022-04-03;10;63;0;0;3;False
2022-04-10;10;71;0;0;3;False
2022-04-17;10;70;0;0;3;False
2022-04-24;10;62;0;0;3;False
2022-05-01;11;67;0;0;3;False
2022-05-08;10;63;0;0;3;False
2022-05-15;11;62;0;0;3;False
2022-05-22;11;66;0;0;3;False
2022-05-29;10;73;0;0;3;False
2022-06-05;11;81;0;0;4;False
2022-06-12;11;67;0;0;3;False
2022-06-19;12;62;0;0;3;False
2022-06-26;11;66;0;0;3;False
2022-07-03;11;63;0;0;3;False
2022-07-10;11;65;0;0;3;False
2022-07-17;11;69;0;0;3;False
2022-07-24;12;88;0;0;3;False
2022-07-31;12;78;0;0;3;False
2022-08-07;26;67;0;0;3;False
2022-08-14;17;62;0;0;3;False
2022-08-21;11;63;0;0;2;False
2022-08-28;11;67;0;0;3;False
2022-09-04;13;77;0;0;3;False
2022-09-11;12;90;0;0;2;False
2022-09-18;11;100;0;0;2;False
2022-09-25;11;77;0;0;2;False
2022-10-02;10;78;0;0;2;False
2022-10-09;10;63;0;0;2;False
2022-10-16;10;64;0;0;2;False
2022-10-23;12;58;0;0;2;False
2022-10-30;11;46;0;0;2;False
2022-11-06;11;48;0;0;2;False
2022-11-13;10;44;0;0;2;False
2022-11-20;10;45;0;0;2;False
2022-11-27;10;43;0;0;2;False
2022-12-04;10;40;0;0;2;False
2022-12-11;10;42;0;0;2;False
2022-12-18;9;50;0;0;2;False
2022-12-25;9;57;0;0;2;False
2023-01-01;11;50;0;0;3;False
2023-01-08;11;38;0;0;2;False
2023-01-15;11;37;0;0;2;False
2023-01-22;12;39;0;0;2;False
2023-01-29;12;39;0;0;2;False
