date;natalie mcnally murder;Team GB;Sierra Leone;Children's rights;air travel;isPartial
2022-01-02;0;8;25;2;39;False
2022-01-09;0;11;65;4;45;False
2022-01-16;1;11;63;3;34;False
2022-01-23;0;12;24;2;37;False
2022-01-30;0;42;23;1;42;False
2022-02-06;0;69;22;3;42;False
2022-02-13;0;100;23;2;42;False
2022-02-20;0;60;22;2;43;False
2022-02-27;0;13;21;2;38;False
2022-03-06;0;14;23;3;40;False
2022-03-13;0;11;67;2;39;False
2022-03-20;0;7;30;3;38;False
2022-03-27;0;8;26;2;41;False
2022-04-03;1;7;23;1;38;False
2022-04-10;0;8;20;1;32;False
2022-04-17;0;8;18;2;35;False
2022-04-24;0;8;26;3;37;False
2022-05-01;0;8;22;2;38;False
2022-05-08;0;10;29;2;39;False
2022-05-15;0;10;23;3;41;False
2022-05-22;0;11;19;2;38;False
2022-05-29;0;6;17;1;39;False
2022-06-05;0;10;34;2;44;False
2022-06-12;0;12;26;1;39;False
2022-06-19;0;9;22;1;36;False
2022-06-26;1;9;21;2;38;False
2022-07-03;0;8;24;2;40;False
2022-07-10;0;13;21;1;42;False
2022-07-17;0;15;19;2;40;False
2022-07-24;0;26;21;1;39;False
2022-07-31;0;21;21;1;35;False
2022-08-07;0;19;30;0;34;False
2022-08-14;0;26;22;2;34;False
2022-08-21;0;14;22;2;29;False
2022-08-28;0;8;19;2;32;False
2022-09-04;0;11;20;2;35;False
2022-09-11;0;9;18;1;30;False
2022-09-18;0;10;22;2;30;False
2022-09-25;0;9;19;3;30;False
2022-10-02;0;8;19;2;29;False
2022-10-09;0;6;20;2;28;False
2022-10-16;0;7;17;2;25;False
2022-10-23;0;7;19;2;23;False
2022-10-30;0;9;17;2;23;False
2022-11-06;0;10;19;3;26;False
2022-11-13;1;8;18;3;22;False
2022-11-20;0;6;20;3;27;False
2022-11-27;0;7;21;3;27;False
2022-12-04;0;6;20;2;23;False
2022-12-11;0;9;22;2;23;False
2022-12-18;0;9;29;1;22;False
2022-12-25;1;7;17;0;29;False
2023-01-01;0;9;18;1;34;False
2023-01-08;1;7;15;2;31;False
2023-01-15;1;7;19;2;30;False
2023-01-22;0;8;20;2;28;False
2023-01-29;1;8;18;3;30;False
