date;Leftovers;Seafood;Kendrick Lamar;Marlon Brando;air travel;isPartial
2022-01-02;4;24;2;4;8;False
2022-01-09;3;21;2;5;9;False
2022-01-16;3;20;2;3;7;False
2022-01-23;3;20;3;2;7;False
2022-01-30;2;21;3;3;8;False
2022-02-06;3;22;4;3;8;False
2022-02-13;3;22;23;2;8;False
2022-02-20;3;21;5;2;9;False
2022-02-27;2;21;5;3;8;False
2022-03-06;2;23;4;3;8;False
2022-03-13;3;21;3;3;8;False
2022-03-20;2;24;4;4;8;False
2022-03-27;2;20;3;5;8;False
2022-04-03;2;21;3;3;7;False
2022-04-10;2;25;3;3;6;False
2022-04-17;2;22;9;2;7;False
2022-04-24;2;20;5;4;7;False
2022-05-01;2;24;7;3;8;False
2022-05-08;1;22;59;6;8;False
2022-05-15;2;21;41;2;8;False
2022-05-22;2;22;13;5;8;False
2022-05-29;2;28;9;3;8;False
2022-06-05;2;24;7;2;9;False
2022-06-12;2;25;9;2;8;False
2022-06-19;2;23;16;2;7;False
2022-06-26;1;23;100;2;8;False
2022-07-03;1;26;8;3;8;False
2022-07-10;2;28;6;3;8;False
2022-07-17;2;26;6;3;8;False
2022-07-24;2;27;6;3;8;False
2022-07-31;2;28;5;3;7;False
2022-08-07;4;30;6;3;7;False
2022-08-14;2;25;5;8;7;False
2022-08-21;2;26;6;3;6;False
2022-08-28;3;26;5;2;6;False
2022-09-04;2;24;5;2;7;False
2022-09-11;2;24;5;2;6;False
2022-09-18;2;23;5;2;6;False
2022-09-25;2;21;5;2;6;False
2022-10-02;2;20;6;7;6;False
2022-10-09;2;21;9;3;5;False
2022-10-16;2;18;8;2;5;False
2022-10-23;2;19;8;4;5;False
2022-10-30;2;16;22;3;5;False
2022-11-06;3;19;24;2;5;False
2022-11-13;2;18;10;2;4;False
2022-11-20;2;15;4;2;5;False
2022-11-27;2;18;5;2;5;False
2022-12-04;2;16;4;2;5;False
2022-12-11;2;16;4;2;5;False
2022-12-18;3;22;4;2;4;False
2022-12-25;11;22;4;3;6;False
2023-01-01;3;21;3;2;7;False
2023-01-08;2;19;3;3;6;False
2023-01-15;2;20;3;3;6;False
2023-01-22;3;20;3;2;6;False
2023-01-29;2;22;4;2;6;False
