date;TV comedy;Ireland;Immunology;Quadrophenia;air travel;isPartial
2022-01-02;1;64;0;0;1;False
2022-01-09;0;63;1;0;2;False
2022-01-16;0;60;0;0;1;False
2022-01-23;1;60;0;0;1;False
2022-01-30;0;92;0;0;2;False
2022-02-06;0;79;0;0;2;False
2022-02-13;0;64;0;0;2;False
2022-02-20;0;68;0;0;2;False
2022-02-27;1;66;0;1;1;False
2022-03-06;0;100;0;0;1;False
2022-03-13;0;79;1;0;1;False
2022-03-20;0;68;0;0;1;False
2022-03-27;0;65;0;0;2;False
2022-04-03;1;57;0;0;1;False
2022-04-10;1;62;0;0;1;False
2022-04-17;1;56;0;0;1;False
2022-04-24;0;57;0;0;1;False
2022-05-01;1;82;0;0;1;False
2022-05-08;1;63;0;0;1;False
2022-05-15;0;62;0;0;2;False
2022-05-22;1;58;0;0;1;False
2022-05-29;1;59;0;0;1;False
2022-06-05;0;71;0;0;2;False
2022-06-12;0;65;0;0;1;False
2022-06-19;1;56;0;0;1;False
2022-06-26;0;69;0;0;1;False
2022-07-03;0;61;0;0;2;False
2022-07-10;0;88;0;0;2;False
2022-07-17;0;65;0;0;1;False
2022-07-24;1;63;0;0;1;False
2022-07-31;0;65;0;0;1;False
2022-08-07;1;59;0;0;1;False
2022-08-14;1;54;0;0;1;False
2022-08-21;1;57;0;0;1;False
2022-08-28;1;52;0;0;1;False
2022-09-04;1;58;0;0;1;False
2022-09-11;0;63;0;0;1;False
2022-09-18;1;73;0;0;1;False
2022-09-25;1;59;0;0;1;False
2022-10-02;0;54;0;0;1;False
2022-10-09;1;59;0;0;1;False
2022-10-16;1;58;0;0;1;False
2022-10-23;1;55;0;0;1;False
2022-10-30;1;62;0;0;1;False
2022-11-06;0;55;0;0;1;False
2022-11-13;1;56;0;0;1;False
2022-11-20;0;51;0;0;1;False
2022-11-27;0;46;0;0;1;False
2022-12-04;1;47;0;0;1;False
2022-12-11;1;45;0;0;1;False
2022-12-18;1;44;0;0;1;False
2022-12-25;1;47;0;0;1;False
2023-01-01;1;54;0;0;1;False
2023-01-08;0;54;0;0;1;False
2023-01-15;1;58;0;0;1;False
2023-01-22;1;57;0;0;1;False
2023-01-29;1;81;0;0;1;False
