date;US political financing;Mark Serwotka;Fighting games;Short films;air travel;isPartial
2023-01-01;0;0;18;12;76;False
2023-01-02;0;0;15;16;90;False
2023-01-03;0;0;8;12;59;False
2023-01-04;0;0;7;15;89;False
2023-01-05;0;0;10;18;73;False
2023-01-06;0;0;10;12;73;False
2023-01-07;0;0;0;8;53;False
2023-01-08;0;0;0;19;84;False
2023-01-09;0;0;13;15;50;False
2023-01-10;0;5;6;7;79;False
2023-01-11;0;0;7;16;90;False
2023-01-12;0;0;0;21;75;False
2023-01-13;0;11;6;5;60;False
2023-01-14;0;0;11;22;56;False
2023-01-15;0;13;16;8;66;False
2023-01-16;0;0;11;10;68;False
2023-01-17;0;0;0;0;56;False
2023-01-18;0;0;5;12;80;False
2023-01-19;0;7;12;15;73;False
2023-01-20;0;0;7;22;59;False
2023-01-21;0;0;16;0;63;False
2023-01-22;0;0;9;24;70;False
2023-01-23;0;8;5;16;72;False
2023-01-24;0;0;9;24;55;False
2023-01-25;0;0;16;16;75;False
2023-01-26;0;0;9;15;68;False
2023-01-27;0;0;8;32;47;False
2023-01-28;0;0;11;17;66;False
2023-01-29;0;0;29;0;60;False
2023-01-30;0;0;8;22;100;False
2023-01-31;0;0;11;9;84;False
