date;John Lydon;Sweden;William Hogarth;Period and historical films;air travel;isPartial
2022-01-02;0;21;0;0;5;False
2022-01-09;0;21;0;0;5;False
2022-01-16;0;20;0;0;4;False
2022-01-23;0;21;0;0;5;False
2022-01-30;1;21;0;0;5;False
2022-02-06;0;20;0;0;5;False
2022-02-13;1;29;0;0;5;False
2022-02-20;0;37;0;0;5;False
2022-02-27;0;30;0;0;5;False
2022-03-06;0;21;0;0;5;False
2022-03-13;0;20;0;0;5;False
2022-03-20;0;28;0;0;5;False
2022-03-27;1;31;0;0;5;False
2022-04-03;1;19;0;0;5;False
2022-04-10;1;22;0;0;4;False
2022-04-17;1;33;0;0;5;False
2022-04-24;1;20;0;0;5;False
2022-05-01;1;21;0;0;5;False
2022-05-08;1;38;0;0;5;False
2022-05-15;1;32;0;0;5;False
2022-05-22;1;20;0;0;5;False
2022-05-29;6;22;0;0;5;False
2022-06-05;4;25;0;0;6;False
2022-06-12;3;22;0;0;5;False
2022-06-19;2;20;0;0;5;False
2022-06-26;1;22;0;0;5;False
2022-07-03;1;23;0;0;5;False
2022-07-10;1;25;0;0;5;False
2022-07-17;1;39;0;0;5;False
2022-07-24;1;100;0;0;5;False
2022-07-31;0;22;0;0;4;False
2022-08-07;0;20;0;0;4;False
2022-08-14;0;18;0;0;4;False
2022-08-21;0;20;0;0;4;False
2022-08-28;1;18;0;0;4;False
2022-09-04;1;19;0;0;4;False
2022-09-11;1;31;0;0;4;False
2022-09-18;1;23;0;0;4;False
2022-09-25;0;22;0;0;4;False
2022-10-02;0;18;0;0;4;False
2022-10-09;0;18;0;0;3;False
2022-10-16;0;19;0;0;3;False
2022-10-23;0;18;0;0;3;False
2022-10-30;0;18;0;0;3;False
2022-11-06;1;20;0;0;3;False
2022-11-13;1;22;0;0;3;False
2022-11-20;0;18;0;0;3;False
2022-11-27;0;19;0;0;3;False
2022-12-04;0;19;0;0;3;False
2022-12-11;0;19;0;0;3;False
2022-12-18;0;19;0;0;3;False
2022-12-25;1;18;0;0;4;False
2023-01-01;0;19;0;0;4;False
2023-01-08;5;20;0;0;4;False
2023-01-15;3;19;0;0;4;False
2023-01-22;1;21;0;0;4;False
2023-01-29;9;21;0;0;4;False
