date;Cabaret;Woodstock;Tennessee Williams;Premier League;air travel;isPartial
2022-01-02;1;1;0;40;1;False
2022-01-09;1;1;0;40;1;False
2022-01-16;1;1;0;56;0;False
2022-01-23;1;1;0;34;0;False
2022-01-30;1;1;0;20;1;False
2022-02-06;1;1;0;50;1;False
2022-02-13;1;1;0;51;1;False
2022-02-20;1;1;0;62;1;False
2022-02-27;1;1;0;42;1;False
2022-03-06;1;1;0;63;1;False
2022-03-13;1;1;0;60;1;False
2022-03-20;1;1;0;24;1;False
2022-03-27;1;1;0;28;1;False
2022-04-03;1;1;0;55;1;False
2022-04-10;1;1;0;51;0;False
2022-04-17;1;1;0;69;0;False
2022-04-24;1;1;0;58;0;False
2022-05-01;1;1;0;67;1;False
2022-05-08;1;1;0;72;1;False
2022-05-15;1;1;0;82;1;False
2022-05-22;1;1;0;57;1;False
2022-05-29;0;1;0;11;1;False
2022-06-05;0;1;0;8;1;False
2022-06-12;1;1;0;12;1;False
2022-06-19;0;1;0;8;0;False
2022-06-26;0;1;0;7;1;False
2022-07-03;0;1;0;17;1;False
2022-07-10;0;1;0;10;1;False
2022-07-17;1;1;0;10;1;False
2022-07-24;1;1;0;15;1;False
2022-07-31;1;4;0;52;0;False
2022-08-07;1;6;0;58;0;False
2022-08-14;1;4;0;52;0;False
2022-08-21;1;2;0;81;0;False
2022-08-28;1;2;0;100;0;False
2022-09-04;1;1;0;44;0;False
2022-09-11;1;1;0;33;0;False
2022-09-18;1;1;0;26;0;False
2022-09-25;1;1;0;31;0;False
2022-10-02;1;1;0;51;0;False
2022-10-09;1;1;0;56;0;False
2022-10-16;1;1;0;83;0;False
2022-10-23;1;1;0;57;0;False
2022-10-30;1;1;0;47;0;False
2022-11-06;1;1;0;62;0;False
2022-11-13;1;1;0;24;0;False
2022-11-20;0;1;0;8;0;False
2022-11-27;1;1;0;6;0;False
2022-12-04;1;1;0;6;0;False
2022-12-11;1;1;0;6;0;False
2022-12-18;1;1;0;13;0;False
2022-12-25;1;1;0;88;0;False
2023-01-01;1;1;0;75;0;False
2023-01-08;1;1;0;48;0;False
2023-01-15;1;1;0;66;0;False
2023-01-22;1;1;0;44;0;False
2023-01-29;1;1;0;43;0;False
