date;Low-traffic neighbourhoods;Research publishing;Gardening advice;Fargo;air travel;isPartial
2022-01-02;0;2;0;60;47;False
2022-01-09;0;1;0;55;54;False
2022-01-16;0;1;0;52;40;False
2022-01-23;0;2;0;58;44;False
2022-01-30;0;1;1;49;50;False
2022-02-06;0;0;0;47;50;False
2022-02-13;0;1;0;51;51;False
2022-02-20;0;1;0;46;51;False
2022-02-27;0;0;0;38;45;False
2022-03-06;0;0;0;43;47;False
2022-03-13;0;0;1;39;47;False
2022-03-20;0;1;0;44;46;False
2022-03-27;0;1;1;45;49;False
2022-04-03;0;1;1;41;45;False
2022-04-10;0;1;1;39;38;False
2022-04-17;0;1;0;40;42;False
2022-04-24;0;1;0;39;44;False
2022-05-01;0;1;0;100;45;False
2022-05-08;0;1;0;72;47;False
2022-05-15;0;1;0;45;49;False
2022-05-22;0;0;1;36;46;False
2022-05-29;0;1;1;40;47;False
2022-06-05;0;0;0;41;52;False
2022-06-12;0;2;0;37;47;False
2022-06-19;0;2;0;35;42;False
2022-06-26;0;1;1;38;46;False
2022-07-03;0;1;0;35;48;False
2022-07-10;0;0;0;35;50;False
2022-07-17;0;1;2;41;47;False
2022-07-24;0;0;1;38;47;False
2022-07-31;0;0;0;38;42;False
2022-08-07;0;0;0;47;41;False
2022-08-14;0;1;1;37;40;False
2022-08-21;0;1;0;35;35;False
2022-08-28;0;0;0;38;39;False
2022-09-04;0;0;0;36;42;False
2022-09-11;0;1;0;37;36;False
2022-09-18;0;1;0;39;35;False
2022-09-25;0;2;0;38;36;False
2022-10-02;0;0;0;35;34;False
2022-10-09;0;1;0;37;33;False
2022-10-16;0;2;0;32;30;False
2022-10-23;0;1;0;33;28;False
2022-10-30;0;1;0;28;28;False
2022-11-06;0;1;1;33;31;False
2022-11-13;0;1;0;29;26;False
2022-11-20;0;1;0;26;33;False
2022-11-27;0;1;0;36;32;False
2022-12-04;0;1;0;34;27;False
2022-12-11;0;1;0;33;28;False
2022-12-18;0;1;0;39;26;False
2022-12-25;0;0;0;35;35;False
2023-01-01;0;0;0;40;40;False
2023-01-08;0;2;1;37;37;False
2023-01-15;0;1;0;30;36;False
2023-01-22;0;1;0;33;33;False
2023-01-29;0;0;1;34;36;False
