date;M Night Shyamalan;Hacking;European monetary union;Silent film;air travel;isPartial
2022-01-02;10;77;1;17;87;False
2022-01-09;7;67;2;13;100;False
2022-01-16;11;74;1;11;74;False
2022-01-23;7;77;0;12;82;False
2022-01-30;14;79;0;8;94;False
2022-02-06;11;83;1;9;93;False
2022-02-13;8;77;0;11;94;False
2022-02-20;9;94;2;10;95;False
2022-02-27;23;100;0;7;83;False
2022-03-06;29;88;0;8;88;False
2022-03-13;15;73;1;8;87;False
2022-03-20;13;81;0;10;85;False
2022-03-27;11;74;0;9;90;False
2022-04-03;12;72;0;5;84;False
2022-04-10;11;71;0;7;71;False
2022-04-17;9;67;1;9;78;False
2022-04-24;6;73;0;7;82;False
2022-05-01;6;78;1;7;84;False
2022-05-08;7;76;0;8;87;False
2022-05-15;8;86;1;6;90;False
2022-05-22;7;67;2;11;85;False
2022-05-29;9;71;0;9;87;False
2022-06-05;9;76;0;9;97;False
2022-06-12;9;75;0;8;87;False
2022-06-19;11;77;1;7;79;False
2022-06-26;10;64;0;9;84;False
2022-07-03;6;68;1;7;89;False
2022-07-10;5;70;0;8;92;False
2022-07-17;10;66;0;9;88;False
2022-07-24;15;66;0;7;87;False
2022-07-31;11;65;0;10;78;False
2022-08-07;9;69;0;9;76;False
2022-08-14;6;69;0;6;75;False
2022-08-21;10;67;1;6;65;False
2022-08-28;7;63;0;4;71;False
2022-09-04;11;64;0;8;77;False
2022-09-11;7;69;1;8;67;False
2022-09-18;7;74;0;9;66;False
2022-09-25;10;76;0;8;66;False
2022-10-02;12;85;0;9;63;False
2022-10-09;8;79;1;10;62;False
2022-10-16;11;74;1;13;55;False
2022-10-23;6;68;0;10;52;False
2022-10-30;9;73;0;8;51;False
2022-11-06;8;74;0;7;58;False
2022-11-13;5;71;0;9;48;False
2022-11-20;7;68;3;11;60;False
2022-11-27;5;74;0;11;59;False
2022-12-04;3;77;0;13;50;False
2022-12-11;5;79;1;25;51;False
2022-12-18;7;77;1;14;48;False
2022-12-25;12;69;0;11;64;False
2023-01-01;17;71;0;9;74;False
2023-01-08;20;73;1;12;69;False
2023-01-15;20;84;0;10;67;False
2023-01-22;87;71;0;10;62;False
2023-01-29;64;77;0;13;66;False
