date;San Francisco 49ers;Bryan Adams;Rick Astley;Health & wellbeing;air travel;isPartial
2022-01-02;4;18;20;2;38;False
2022-01-09;6;19;18;2;41;False
2022-01-16;10;19;15;2;32;False
2022-01-23;12;22;16;2;35;False
2022-01-30;9;21;16;1;40;False
2022-02-06;3;17;17;2;40;False
2022-02-13;3;17;14;1;40;False
2022-02-20;3;18;14;2;41;False
2022-02-27;3;23;19;3;36;False
2022-03-06;3;100;15;2;38;False
2022-03-13;4;48;18;2;38;False
2022-03-20;4;27;20;2;37;False
2022-03-27;3;20;27;2;39;False
2022-04-03;2;26;19;2;36;False
2022-04-10;2;18;17;2;31;False
2022-04-17;3;23;15;2;34;False
2022-04-24;4;21;17;2;35;False
2022-05-01;3;30;20;2;36;False
2022-05-08;3;79;15;2;37;False
2022-05-15;3;67;19;1;39;False
2022-05-22;2;57;15;2;37;False
2022-05-29;2;33;19;2;38;False
2022-06-05;3;24;15;1;42;False
2022-06-12;2;26;15;1;37;False
2022-06-19;2;27;16;2;34;False
2022-06-26;1;60;16;1;37;False
2022-07-03;2;63;18;1;39;False
2022-07-10;2;38;24;2;40;False
2022-07-17;2;18;17;1;38;False
2022-07-24;3;17;16;2;38;False
2022-07-31;2;16;15;2;34;False
2022-08-07;3;17;16;2;33;False
2022-08-14;3;11;20;2;32;False
2022-08-21;2;15;20;1;28;False
2022-08-28;3;15;15;1;31;False
2022-09-04;3;16;12;1;33;False
2022-09-11;4;16;18;1;29;False
2022-09-18;5;15;16;1;28;False
2022-09-25;3;12;12;2;29;False
2022-10-02;6;14;20;2;27;False
2022-10-09;5;12;19;3;26;False
2022-10-16;4;12;22;2;24;False
2022-10-23;4;12;18;2;22;False
2022-10-30;4;18;14;1;22;False
2022-11-06;4;17;13;2;25;False
2022-11-13;3;14;13;2;21;False
2022-11-20;5;12;14;1;26;False
2022-11-27;4;11;15;0;25;False
2022-12-04;6;15;14;2;22;False
2022-12-11;10;28;24;2;22;False
2022-12-18;4;17;15;1;21;False
2022-12-25;4;19;18;2;27;False
2023-01-01;4;20;11;2;32;False
2023-01-08;8;13;11;2;30;False
2023-01-15;9;11;25;2;29;False
2023-01-22;10;11;33;3;27;False
2023-01-29;10;16;20;2;29;False
