date;Paris holidays;Belfast;Smoking;cop28;air travel;isPartial
2022-01-02;2;77;15;0;2;False
2022-01-09;2;75;17;0;2;False
2022-01-16;2;87;13;0;2;False
2022-01-23;2;94;12;0;2;False
2022-01-30;2;97;15;0;2;False
2022-02-06;2;86;14;0;2;False
2022-02-13;2;100;13;0;2;False
2022-02-20;2;89;13;0;2;False
2022-02-27;1;76;15;0;2;False
2022-03-06;2;77;13;0;2;False
2022-03-13;2;81;15;0;2;False
2022-03-20;2;83;15;0;2;False
2022-03-27;2;83;14;0;2;False
2022-04-03;2;83;14;0;2;False
2022-04-10;2;82;14;0;1;False
2022-04-17;2;65;14;0;2;False
2022-04-24;2;82;14;0;2;False
2022-05-01;2;90;15;0;2;False
2022-05-08;2;83;15;0;2;False
2022-05-15;2;88;16;0;2;False
2022-05-22;2;89;16;0;2;False
2022-05-29;2;92;14;0;2;False
2022-06-05;2;87;17;0;2;False
2022-06-12;2;92;15;0;2;False
2022-06-19;2;87;16;0;2;False
2022-06-26;2;88;15;0;2;False
2022-07-03;2;80;14;0;2;False
2022-07-10;2;85;15;0;2;False
2022-07-17;2;81;13;0;2;False
2022-07-24;2;90;14;0;2;False
2022-07-31;2;83;13;0;2;False
2022-08-07;2;90;13;0;2;False
2022-08-14;2;83;12;0;2;False
2022-08-21;2;83;13;0;1;False
2022-08-28;3;87;13;0;1;False
2022-09-04;2;86;14;0;2;False
2022-09-11;3;96;13;0;1;False
2022-09-18;2;83;14;0;1;False
2022-09-25;2;79;14;0;1;False
2022-10-02;2;76;14;0;1;False
2022-10-09;2;79;15;0;1;False
2022-10-16;2;78;14;0;1;False
2022-10-23;2;82;14;0;1;False
2022-10-30;2;80;12;0;1;False
2022-11-06;2;80;13;0;1;False
2022-11-13;1;73;14;0;1;False
2022-11-20;1;70;12;0;1;False
2022-11-27;1;75;13;0;1;False
2022-12-04;1;77;12;0;1;False
2022-12-11;1;79;12;0;1;False
2022-12-18;1;78;12;0;1;False
2022-12-25;3;76;12;0;1;False
2023-01-01;4;81;16;0;2;False
2023-01-08;4;74;15;0;1;False
2023-01-15;3;84;17;0;1;False
2023-01-22;3;81;15;0;1;False
2023-01-29;2;91;15;0;1;False
