date;Senegal;new york;Arms trade;Seattle;air travel;isPartial
2022-01-02;1;35;0;2;1;False
2022-01-09;4;33;0;2;1;False
2022-01-16;2;29;0;2;1;False
2022-01-23;3;29;0;2;1;False
2022-01-30;7;30;0;2;1;False
2022-02-06;16;27;0;2;1;False
2022-02-13;1;31;0;2;1;False
2022-02-20;1;36;0;2;1;False
2022-02-27;1;34;0;2;1;False
2022-03-06;1;34;0;2;1;False
2022-03-13;1;38;0;2;1;False
2022-03-20;3;35;0;2;1;False
2022-03-27;6;39;0;2;1;False
2022-04-03;1;36;0;2;1;False
2022-04-10;1;43;0;2;1;False
2022-04-17;1;35;0;2;1;False
2022-04-24;1;33;0;2;1;False
2022-05-01;1;40;0;3;1;False
2022-05-08;1;35;0;2;1;False
2022-05-15;1;37;0;2;1;False
2022-05-22;1;35;0;2;1;False
2022-05-29;1;37;0;2;1;False
2022-06-05;1;38;0;2;1;False
2022-06-12;1;34;0;3;1;False
2022-06-19;1;35;0;3;1;False
2022-06-26;1;33;0;2;1;False
2022-07-03;1;36;0;2;1;False
2022-07-10;1;36;0;3;1;False
2022-07-17;1;36;0;3;1;False
2022-07-24;1;36;0;3;1;False
2022-07-31;1;38;0;3;1;False
2022-08-07;1;39;0;3;1;False
2022-08-14;1;34;0;2;1;False
2022-08-21;1;36;0;2;1;False
2022-08-28;1;39;0;3;1;False
2022-09-04;1;38;0;3;1;False
2022-09-11;1;42;0;3;1;False
2022-09-18;1;37;0;2;1;False
2022-09-25;1;37;0;2;1;False
2022-10-02;1;39;0;2;1;False
2022-10-09;1;38;0;2;1;False
2022-10-16;1;37;0;2;1;False
2022-10-23;1;37;0;2;1;False
2022-10-30;1;39;0;2;1;False
2022-11-06;2;42;0;3;1;False
2022-11-13;3;37;0;2;1;False
2022-11-20;33;37;0;2;1;False
2022-11-27;39;40;0;2;1;False
2022-12-04;100;40;0;2;1;False
2022-12-11;2;37;0;2;1;False
2022-12-18;1;49;0;2;1;False
2022-12-25;1;54;0;2;1;False
2023-01-01;1;42;0;4;1;False
2023-01-08;1;41;0;2;1;False
2023-01-15;1;40;0;2;1;False
2023-01-22;1;38;0;2;1;False
2023-01-29;2;38;0;2;1;False
